listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd,deposit_만원,monthly_rent_만원,size_평,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,actual_rent,rent_index,startup_cost,coverage,rent_score,capital_score,cost_score,location_score,recom_score
878734,서울특별시 강남구 논현동,37.506705548598,127.026788237715,사무실,월세,0,0,50000000,4300000,300000,88.93,5.0,T,3120187,11680521,5000.0,430.0,26.9,589152.0,788268.0,560948.125,0,0,1,0,670.7348790757344,199.2583209367175,9,1,0.19999999999999996,0,2,2,22,4600000,0.855950954473122,72555881.81818181,1.0,9.519331243469175,15.0,24.519331243469175,0.7263880838935419,78.99843753548481
878904,서울특별시 서초구 반포동,37.5082319752422,127.020804441327,가구/가전,월세,0,23000000,30000000,1500000,100000,42.15,1.0,T,3120176,11650560,3000.0,150.0,12.8,207573.5,269048.0,346445.0625,0,2,0,0,337.9281277707291,141.10056380976172,9,0,1.0,0,4,3,26,1600000,0.2681136291094797,63690772.72727273,1.0,9.84943781645486,15.0,24.84943781645486,0.7452271098145572,80.74147105254664
878804,서울특별시 강남구 신사동,37.519004317,127.0226146096,기타주점,월세,0,0,150000000,13000000,2000000,231.4,2.0,T,3120186,11680510,15000.0,1300.0,70.0,373769.5,469697.75,332457.375,0,2,0,0,350.3806262434082,177.99573900735575,2,1,0.8,0,2,4,37,15000000,2.652913960694427,208691454.54545456,0.5750115655735348,8.510226727353572,8.625173483603023,17.135400210956597,0.8703598032432398,82.41238545419958
878836,서울특별시 강남구 신사동,37.5201861071,127.0242574698,기타주점,월세,0,30000000,50000000,3300000,0,76.03,1.0,T,3120186,11680510,5000.0,330.0,23.0,373769.5,469697.75,332457.375,0,1,0,0,543.5323430044554,195.30052894357817,3,1,1.0,0,2,2,39,3300000,0.5836410713527739,99283972.72727273,1.0,9.672249880017786,15.0,24.672249880017787,0.908999268637741,92.84719502784837
878668,서울특별시 강남구 신사동,37.5180012026957,127.022756947141,기타주점,월세,0,100000000,50000000,5100000,500000,211.57,-1.0,T,3120186,11680510,5000.0,510.0,64.0,373769.5,469697.75,332457.375,1,2,0,0,277.2842292782137,80.94300371747957,2,0,0.6,0,3,4,32,5600000,0.990421211992586,203661845.45454544,0.5892119838754106,9.443817978212,8.83817975813116,18.281997736343158,0.758609437665087,75.17770556122468
878557,서울특별시 강남구 신사동,37.5188815512777,127.023781951435,한식/고기집,월세,0,250000000,80000000,6500000,50000,102.48,1.0,T,3120186,11680510,8000.0,650.0,31.0,373769.5,469697.75,332457.375,0,2,0,0,409.91986980433325,175.14138092173044,4,0,1.0,0,2,4,30,6550000,1.1584390961698996,355992654.54545456,0.3370856068736045,9.349465670944392,5.056284103104067,14.40574977404846,0.8486380169599967,78.05360104604821
843691,서울특별시 강남구 역삼동,37.5065209407,127.0337850694,편의점/슈퍼,월세,0,0,100000000,3000000,300000,40.51,1.0,T,3120194,11680640,10000.0,300.0,12.3,319506.5,309264.5,303520.875,1,2,0,0,111.80619185114196,70.22835389806278,18,0,1.0,0,2,2,28,3300000,0.502619450900067,110274809.0909091,1.0,9.717748470038153,15.0,24.717748470038153,0.7895195439238818,83.93171426432929
868237,서울특별시 강남구 신사동,37.5189607271162,127.024333993514,사무실,월세,0,0,50000000,2900000,300000,70.71,3.0,T,3120186,11680510,5000.0,290.0,21.4,373769.5,469697.75,332457.375,0,2,0,0,453.1814050889295,126.31057025082163,4,0,0.6,0,1,2,27,3200000,0.5659549782814777,67934627.27272728,1.0,9.682181701835429,15.0,24.68218170183543,0.7697502605970081,82.41345124661103
878450,서울특별시 강남구 논현동,37.5084632356,127.0347224325,카페/커피,월세,0,150000000,60000000,5400000,0,163.37,1.0,T,3120194,11680531,6000.0,540.0,49.4,319506.5,309264.5,303520.875,1,3,0,0,119.46881108626786,78.93664051746109,16,1,1.0,0,1,4,27,5400000,1.0836493074363538,251436572.72727275,0.47725753934039317,9.391464706711442,7.158863090105897,16.55032779681734,0.8779982338546476,82.40019533591591
878449,서울특별시 강남구 논현동,37.5112423869,127.0331447521,치킨/닭요리,월세,0,70000000,45000000,2850000,340000,79.34,1.0,T,3110961,11680531,4500.0,285.0,24.0,187742.25,204765.25,252216.625,0,2,0,0,361.2877540307685,94.83037877092262,5,1,1.0,0,0,5,18,3190000,0.6401557945781424,135123509.0909091,0.8880764036350313,9.640513410075833,13.32114605452547,22.961659464601304,0.7866896214804324,81.96338107563373
