nm,type,apv_date,addr,floor,sitearea,lat,lng,flpop_type,trdar_cd,adstrd_cd,success,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,profile_weight,location_score,rank
바나프레소 여의도파크원점,커피숍,2021-03-18,서울 영등포구 여의대로 108,-1.0,59.16,37.5251913154781,126.929112756574,T,3120149.0,11560540,1,364928.5,317197.25,246954.3125,0,0,0,0,393.89212886644884,28.191942940432103,27,0,0.6,0,3,1,24,3.0,0.7170536606328141,32
바나프레소 서울성균관대점,커피숍,2025-01-06,서울 종로구 성균관로 3,1.0,10.0,37.5833322525816,126.998325202246,T,3120012.0,11110650,0,534215.25,953144.25,544084.4375,0,0,0,0,366.0991966396993,47.42879115342006,14,0,1.0,0,4,4,23,1.0,0.8763749911022386,8
바나프레소 동여의도점,커피숍,2025-02-10,서울 영등포구 국제금융로8길 11,1.0,26.43,37.5210989114185,126.929781329983,T,3120149.0,11560540,0,364928.5,317197.25,246954.3125,1,0,0,0,477.5253270790444,123.78902425827667,44,0,1.0,0,9,6,43,1.0,0.7764219798071841,24
바나프레소 동대문구청점,커피숍,2024-02-21,서울 동대문구 고산자로28길 21,1.0,66.0,37.5752303080303,127.039521192634,T,3110192.0,11230536,0,44290.5,46188.0,37205.25,0,2,0,0,195.14964310906507,109.85348206039471,12,0,1.0,0,0,4,5,1.0,0.49727033864671505,57
바나프레소 수서역점,커피숍,2025-06-02,서울 강남구 광평로51길 8,1.0,23.76,37.4883751535989,127.102475755025,T,3120224.0,11680750,0,44491.0,42159.0,39788.625,0,0,0,0,122.39272884419216,68.18312740369416,21,0,1.0,0,4,4,12,0.5,0.5123921117481132,56
바나프레소 양천향교역점,커피숍,2025-05-23,서울 강서구 마곡중앙8로5길 63,1.0,32.71,37.5666164557397,126.838422664924,T,3110648.0,11500603,0,21893.0,18320.25,22293.0,0,0,0,2,847.9460772189301,210.90460438477075,5,0,1.0,0,2,8,19,0.5,0.4376844853074842,59
바나프레소 압구정CGV점,커피숍,2025-07-08,서울 강남구 논현로 854,1.0,29.32,37.5253215967063,127.028865132152,T,3120188.0,11680545,0,409384.0,460045.5,322143.0625,1,1,0,0,127.76388675669988,75.58077436009751,12,0,1.0,1,3,4,36,0.5,0.7919530879374128,23
바나프레소 왕십리점,커피숍,2025-07-11,서울 성동구 왕십리로 315,1.0,59.0,37.5617210789329,127.034237697854,T,3130066.0,11200560,0,100799.75,162383.25,140498.9375,1,0,0,0,221.72933335987523,117.70279732250654,18,0,1.0,0,2,4,11,0.5,0.6015971696131032,48
바나프레소 가산하이엔드 10차,커피숍,2025-08-01,서울 금천구 가산디지털1로 30,1.0,85.75,37.46880404424,126.887495831099,T,3120131.0,11545510,0,231248.25,205386.0,190148.375,0,0,0,9,1486.0020531248529,57.994245192917504,24,0,1.0,0,2,7,16,0.5,0.6268051173525794,45
바나프레소 가산안양천점,커피숍,2024-04-15,서울 금천구 가산디지털2로 127-143,1.0,46.45,37.4785697268456,126.876833912174,T,3120131.0,11545510,0,231248.25,205386.0,190148.375,0,0,0,6,609.3619605588547,234.6453348672633,6,0,1.0,1,1,7,15,1.0,0.5626765567254441,52
