listing_id,addr,lat,lng,floor,deposit_만원,monthly_rent_만원,size_평,flpop_lunch,flpop_dinner,flpop_etc,dist_station,dist_bus_stop,cnt_crosswalk,is_road,cnt_academy,cnt_hospital,cnt_school,cnt_company,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,rent_score,capital_score,cost_score,location_score,location_score_lr,success_prob,recom_score,final_score
921771,서울특별시 강남구 논현동,37.5095617494,127.0228560653,1.0,1100.0,110.0,17.8,388874.5,478718.0,397097.625,210.57481092672145,47.31993166483583,13,1,0,4,0,0,0,4,2,32,9.885057471264368,15.0,24.885057471264368,0.9386960059981903,0.5617251673669281,0.7451884297105724,95.28725792112863,89.05673343610721
921586,서울특별시 서초구 잠원동,37.511512079,127.0197756257,1.0,2000.0,170.0,17.1,388874.5,478718.0,397097.625,170.72091295196802,101.285191113481,16,1,0,3,0,0,0,2,5,35,9.775153490779836,15.0,24.775153490779836,0.9472609841645261,0.5497160764564626,0.7313217604460464,95.8197273031193,89.01346192556488
891481,서울특별시 서초구 잠원동,37.511512079,127.0197756257,1.0,2000.0,170.0,17.0,388874.5,478718.0,397097.625,170.72091295196802,101.285191113481,16,1,0,3,0,0,0,2,5,35,9.775153490779836,15.0,24.775153490779836,0.9472609841645261,0.5497160764564626,0.7313217604460464,95.8197273031193,89.01346192556488
419277,서울특별시 강남구 논현동,37.5109350019529,127.022218565558,1.0,3000.0,230.0,16.0,388874.5,478718.0,397097.625,57.7641849465931,49.24040289180498,16,1,0,5,0,0,0,3,4,32,9.74921630094044,15.0,24.74921630094044,0.9313470943825208,0.5753978087697672,0.7597387601973585,94.6002483796295,89.0123366716614
881607,서울특별시 서초구 잠원동,37.5127266658701,127.019576874652,1.0,7000.0,600.0,62.0,388874.5,478718.0,397097.625,250.81595638519605,95.44258071191442,15,1,0,2,0,0,0,2,4,29,9.238020163198332,14.755875223126719,23.99389538632505,0.9591658110585667,0.5419698269692396,0.7094184440213298,95.93133121571755,88.43448517164217
878448,서울특별시 강남구 논현동,37.510091465,127.0232407833,1.0,4000.0,210.0,6.0,388874.5,478718.0,397097.625,186.72653394791874,111.65344853040301,10,1,0,4,0,0,0,4,2,36,9.759665621734587,14.396589840501054,24.15625546223564,0.9363998726588925,0.5493498234237569,0.7443240681659715,94.38624591165257,88.40009418313595
921387,서울특별시 강남구 역삼동,37.5055343305423,127.030509307767,2.0,3000.0,290.0,39.6,589152.0,788268.0,560948.125,396.7364416516528,93.5436516495798,4,1,0,1,0,0,0,1,0,20,9.751960776700196,15.0,24.751960776700194,0.9252117928263089,0.5561298009223063,0.7452376137706788,94.14284523867337,88.25712008019173
808105,서울특별시 강남구 논현동,37.5161482361,127.0302240564,1.0,3000.0,230.0,9.0,378147.0,391751.0,381067.3125,242.02607980176637,88.2458122173424,11,1,0,1,0,0,0,1,1,23,9.723905283600562,15.0,24.723905283600562,0.9493095593057368,0.5209647070823556,0.6970306571803205,95.92212223153082,88.05640527748119
882189,서울특별시 강남구 논현동,37.5161482361,127.0302240564,1.0,3000.0,265.0,10.0,378147.0,391751.0,381067.3125,242.02607980176637,88.2458122173424,11,1,0,1,0,0,0,1,1,23,9.684463181257785,15.0,24.684463181257783,0.9493095593057368,0.5209647070823556,0.6970306571803205,95.88268012918805,88.02879580584124
908913,서울특별시 강남구 논현동,37.5154978022,127.0215955345,1.0,5500.0,490.0,42.9,568765.0,648546.5,510767.5,153.14949547876583,137.95632023472362,17,1,1,1,0,0,0,3,1,25,9.487983281086729,15.0,24.487983281086727,0.9426900203077381,0.583200178729508,0.7119684936932148,95.18973480416709,87.99186917371341
