rank,listing_id,addr,lat,lng,floor,deposit_만원,monthly_rent_만원,size_평,flpop_lunch,flpop_dinner,flpop_etc,dist_station,dist_bus_stop,cnt_crosswalk,is_road,cnt_academy,cnt_hospital,cnt_school,cnt_company,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,rent_score,capital_score,cost_score,location_score,location_score_lr,success_prob,recom_score,final_score
1,921771,서울특별시 강남구 논현동,37.5095617494,127.0228560653,1.0,1100.0,110.0,17.8,388874.5,478718.0,397097.625,210.57481092672143,47.31993166483583,13,1,0,4,0,0,0,4,2,32,9.885057471264368,15.0,24.885057471264368,0.9386960059981903,0.5617251673669281,0.7451884297105723,95.28725792112863,89.0567334361072
2,419277,서울특별시 강남구 논현동,37.5109350019529,127.022218565558,1.0,3000.0,230.0,16.0,388874.5,478718.0,397097.625,57.7641849465931,49.24040289180498,16,1,0,5,0,0,0,3,4,32,9.74921630094044,15.0,24.74921630094044,0.9313470943825208,0.5753978087697672,0.7597387601973582,94.6002483796295,89.01233667166139
3,921586,서울특별시 서초구 잠원동,37.511512079,127.0197756257,1.0,2000.0,170.0,17.1,388874.5,478718.0,397097.625,170.72091295196802,101.285191113481,16,1,0,3,0,0,0,2,5,35,9.769855032072266,15.0,24.769855032072265,0.9472609841645261,0.5497160764564627,0.731321760446046,95.81442884441171,89.00975300446957
4,891481,서울특별시 서초구 잠원동,37.511512079,127.0197756257,1.0,2000.0,170.0,17.0,388874.5,478718.0,397097.625,170.72091295196802,101.285191113481,16,1,0,3,0,0,0,2,5,35,9.769855032072266,15.0,24.769855032072265,0.9472609841645261,0.5497160764564627,0.731321760446046,95.81442884441171,89.00975300446957
5,881607,서울특별시 서초구 잠원동,37.5127266658701,127.019576874652,1.0,7000.0,600.0,62.0,388874.5,478718.0,397097.625,250.81595638519602,95.44258071191442,15,1,0,2,0,0,0,2,4,29,9.220064275356014,14.755875223126719,23.97593949848273,0.9591658110585667,0.5419698269692396,0.7094184440213296,95.91337532787523,88.42191605015255
6,878448,서울특별시 강남구 논현동,37.510091465,127.0232407833,1.0,4000.0,210.0,6.0,388874.5,478718.0,397097.625,186.72653394791874,111.65344853040301,10,1,0,4,0,0,0,4,2,36,9.759665621734587,14.396589840501054,24.15625546223564,0.9363998726588925,0.5493498234237569,0.7443240681659711,94.38624591165257,88.40009418313593
7,921387,서울특별시 강남구 역삼동,37.5055343305423,127.030509307767,2.0,3000.0,290.0,39.6,589152.0,788268.0,560948.125,396.7364416516528,93.5436516495798,4,1,0,1,0,0,0,1,0,20,9.74866614417487,15.0,24.74866614417487,0.9252117928263089,0.5561298009223063,0.7452376137706785,94.13955060614805,88.254813837424
8,808105,서울특별시 강남구 논현동,37.5161482361,127.0302240564,1.0,3000.0,230.0,9.0,378147.0,391751.0,381067.3125,242.02607980176637,88.2458122173424,11,1,0,1,0,0,0,1,1,23,9.721381187640295,15.0,24.721381187640297,0.9493095593057368,0.5209647070823556,0.6970306571803203,95.91959813557057,88.054638410309
9,882189,서울특별시 강남구 논현동,37.5161482361,127.0302240564,1.0,3000.0,265.0,10.0,378147.0,391751.0,381067.3125,242.02607980176637,88.2458122173424,11,1,0,1,0,0,0,1,1,23,9.681578500160338,15.0,24.681578500160338,0.9493095593057368,0.5209647070823556,0.6970306571803203,95.8797954480906,88.02677652907302
10,908913,서울특별시 강남구 논현동,37.5154978022,127.0215955345,1.0,5500.0,490.0,42.9,568765.0,648546.5,510767.5,153.14949547876583,137.95632023472362,17,1,1,1,0,0,0,3,1,25,9.487983281086729,15.0,24.487983281086727,0.9426900203077381,0.583200178729508,0.7119684936932146,95.18973480416709,87.9918691737134
