road_address,lng,lat,type
서울 강북구 4.19로,127.007065129059,37.6458517415689,도로노선
서울 강북구 4.19로11길,127.008425045298,37.6455419841479,도로노선
서울 강북구 4.19로12길,127.00599203326,37.64668385944,도로노선
서울 강북구 4.19로13길,127.007480203776,37.644909106647,도로노선
서울 강북구 4.19로17길,127.006431324437,37.6438457370333,도로노선
서울 강북구 4.19로1길,127.013569716852,37.6471261547572,도로노선
서울 강북구 4.19로20길,127.001817705517,37.6450448377673,도로노선
서울 강북구 4.19로21길,127.006543809948,37.6448105045586,도로노선
서울 강북구 4.19로23길,127.004685436986,37.6430814243158,도로노선
서울 강북구 4.19로25길,127.005151916389,37.6430506813053,도로노선
서울 강북구 4.19로27길,127.003542171778,37.6429573085519,도로노선
서울 강북구 4.19로28길,127.000377193656,37.6425665141423,도로노선
서울 강북구 4.19로29길,127.003551667016,37.6424854627949,도로노선
서울 강북구 4.19로2길,127.013042904716,37.6482896541943,도로노선
서울 강북구 4.19로30길,127.000667930722,37.642055564629,도로노선
서울 강북구 4.19로31길,126.999953772894,37.6401543089433,도로노선
서울 강북구 4.19로32길,126.999738494818,37.6415203814778,도로노선
서울 강북구 4.19로8길,127.008951807583,37.6473011160652,도로노선
서울 강북구 4.19로9가길,127.008881404765,37.6460496550547,도로노선
서울 강북구 4.19로9길,127.009601305181,37.6463420579889,도로노선
서울 영등포구 63로,126.937657849707,37.5193469164946,도로노선
서울 송파구 가락로,127.112412588388,37.5028267280504,도로노선
서울 송파구 가락로11길,127.104226418235,37.5020230592702,도로노선
서울 송파구 가락로12길,127.105205414004,37.5000550259855,도로노선
서울 송파구 가락로13길,127.105949882809,37.5014954290017,도로노선
서울 송파구 가락로15길,127.105913507381,37.5023244767181,도로노선
서울 송파구 가락로16길,127.108524352379,37.5010592577948,도로노선
서울 송파구 가락로17길,127.110139050801,37.5026643461174,도로노선
서울 송파구 가락로18길,127.111491407076,37.5017403579261,도로노선
서울 송파구 가락로19길,127.11076203608,37.5031682364641,도로노선
서울 송파구 가락로21길,127.110759280829,37.5048247368774,도로노선
서울 송파구 가락로23길,127.112046528991,37.5041301995661,도로노선
서울 송파구 가락로28길,127.116790014713,37.5061045721144,도로노선
서울 송파구 가락로2길,127.098777054487,37.4980772817613,도로노선
서울 송파구 가락로30길,127.117286114919,37.5069311127385,도로노선
서울 송파구 가락로31길,127.114559869889,37.5082834928899,도로노선
서울 송파구 가락로33길,127.115632532963,37.5090920901985,도로노선
서울 송파구 가락로34길,127.118569352162,37.5082926008878,도로노선
서울 송파구 가락로36길,127.119168359315,37.5095849392002,도로노선
서울 송파구 가락로37길,127.117729031954,37.5116231921657,도로노선
서울 송파구 가락로38길,127.119884135797,37.5107503844654,도로노선
서울 송파구 가락로39길,127.116879701085,37.5123423158646,도로노선
서울 송파구 가락로3길,127.100377924363,37.4994401454805,도로노선
서울 송파구 가락로40길,127.120088931663,37.5110792230738,도로노선
서울 송파구 가락로42길,127.120808119847,37.5122383519292,도로노선
서울 송파구 가락로5길,127.101522118053,37.5011661253612,도로노선
서울 송파구 가락로6길,127.102561840763,37.4992359037047,도로노선
서울 송파구 가락로7길,127.102947780486,37.5019315571318,도로노선
서울 송파구 가락로9길,127.103567482424,37.5007527705127,도로노선
서울 성동구 가람길,127.059789669162,37.5511476110167,도로노선
서울 강동구 가래여울1길,127.167925483708,37.5754364397318,도로노선
서울 강동구 가래여울2길,127.173591567042,37.5775920694553,도로노선
서울 강동구 가래여울길,127.163916032932,37.5741407697913,도로노선
서울 강서구 가로공원로,126.838979125395,37.5374140932581,도로노선
서울 양천구 가로공원로55길,126.824467468903,37.5363067192796,도로노선
서울 양천구 가로공원로56길,126.825137470872,37.5348210639342,도로노선
서울 양천구 가로공원로58길,126.824888109472,37.532738754055,도로노선
서울 양천구 가로공원로60가길,126.82633469626,37.5344008023114,도로노선
서울 양천구 가로공원로60길,126.825375339588,37.5331523137054,도로노선
서울 양천구 가로공원로61길,126.826440162399,37.5372732538851,도로노선
서울 양천구 가로공원로64길,126.828285327226,37.5345170004891,도로노선
서울 양천구 가로공원로66길,126.831827514079,37.535446253307,도로노선
서울 양천구 가로공원로67길,126.830530877054,37.537254237481,도로노선
서울 양천구 가로공원로69길,126.832441834,37.5372875082402,도로노선
서울 양천구 가로공원로70길,126.832662858664,37.5358975793666,도로노선
서울 양천구 가로공원로71길,126.83452540411,37.5374454180971,도로노선
서울 강서구 가로공원로72길,126.835327218342,37.5358738441916,도로노선
서울 강서구 가로공원로74길,126.836375075621,37.5359618867732,도로노선
서울 강서구 가로공원로76가길,126.841352932043,37.5338338498211,도로노선
서울 강서구 가로공원로76길,126.8379220484,37.5346744190644,도로노선
서울 강서구 가로공원로77길,126.837921974177,37.5378976550686,도로노선
서울 강서구 가로공원로78가길,126.840172341949,37.5339249708449,도로노선
