lng,lat,sigungu,emd,type
127.00178102814176,37.581945188630954,종로구,명륜4가,횡단보도
126.99701335026714,37.577184625449455,종로구,와룡동,횡단보도
126.99697789522051,37.57649508793737,종로구,원남동,횡단보도
126.99728538406251,37.57723640609517,종로구,연건동,횡단보도
126.98967151380992,37.57729290753758,종로구,와룡동,횡단보도
126.99990593574422,37.58429866068804,종로구,명륜2가,횡단보도
126.96912023057207,37.588016251732135,종로구,청운동,횡단보도
126.98964782624523,37.57752588879888,종로구,와룡동,횡단보도
126.99039591868731,37.57759655304098,종로구,와룡동,횡단보도
126.99023036466683,37.577337669084805,종로구,와룡동,횡단보도
126.9900056422327,37.57731411660239,종로구,와룡동,횡단보도
126.99031907060913,37.57734944322801,종로구,와룡동,횡단보도
126.9907014490941,37.57576448103989,종로구,와룡동,횡단보도
126.99049151819398,37.575719750331196,종로구,와룡동,횡단보도
126.99745987881748,37.57614797758959,종로구,원남동,횡단보도
126.99706364854818,37.57639977872079,종로구,원남동,횡단보도
127.01593707869618,37.572916405717024,종로구,숭인동,횡단보도
127.01550298672223,37.573275762281924,종로구,창신동,횡단보도
127.0157876417177,37.57328259013848,종로구,숭인동,횡단보도
127.015820989547,37.57461565254021,종로구,숭인동,횡단보도
126.96985342297879,37.57941342339377,종로구,통인동,횡단보도
126.997184890754,37.576129144411915,종로구,원남동,횡단보도
126.97734560919262,37.570003980054736,종로구,세종로,횡단보도
126.97726873121093,37.57002279223688,종로구,세종로,횡단보도
126.99709914304923,37.576091488455,종로구,원남동,횡단보도
126.97673949806274,37.57001327566953,종로구,세종로,횡단보도
126.97666556773544,37.57006032847879,종로구,세종로,횡단보도
127.01565458704314,37.57636983006322,종로구,숭인동,횡단보도
127.015415922103,37.57634011063492,종로구,창신동,횡단보도
126.9908390952804,37.57451956016121,종로구,와룡동,횡단보도
126.9911171410876,37.573625301430326,종로구,묘동,횡단보도
126.99764320933839,37.57599971923477,종로구,원남동,횡단보도
126.99750129314162,37.57560435054533,종로구,원남동,횡단보도
126.97638288898624,37.57575777810552,종로구,세종로,횡단보도
126.99324513889466,37.57254090851123,종로구,봉익동,횡단보도
127.00202836630531,37.57862139717047,종로구,연건동,횡단보도
126.99106084996167,37.57456664452484,종로구,와룡동,횡단보도
126.99738750309939,37.57421409591198,종로구,인의동,횡단보도
126.99762995952584,37.57423057460676,종로구,인의동,횡단보도
126.99760935480802,37.571326516978225,종로구,인의동,횡단보도
126.97733080038833,37.57008869852982,종로구,세종로,횡단보도
126.99991785727715,37.587119488434375,종로구,명륜1가,횡단보도
127.00232354269058,37.58068541414759,종로구,동숭동,횡단보도
126.99653720326526,37.579010825052904,종로구,와룡동,횡단보도
126.99664660219557,37.57922027781728,종로구,연건동,횡단보도
126.99667026712851,37.5790178889804,종로구,연건동,횡단보도
126.99680628799918,37.57902495283795,종로구,연건동,횡단보도
126.99786658531508,37.57134299549324,종로구,인의동,횡단보도
127.00239502098844,37.57862376274094,종로구,동숭동,횡단보도
126.97076778784846,37.58152579911299,종로구,옥인동,횡단보도
126.99916861415385,37.5896255754163,종로구,혜화동,횡단보도
127.00213657001885,37.57065266054209,종로구,종로5가,횡단보도
126.97077816936478,37.58144461057936,종로구,통인동,횡단보도
127.0020283059414,37.57639604805261,종로구,연건동,횡단보도
127.00245455466128,37.576035428935555,종로구,연건동,횡단보도
127.0155852140631,37.5746271265355,종로구,창신동,횡단보도
126.99932883066448,37.570745203251576,종로구,종로4가,횡단보도
126.9932194900848,37.57267232656126,종로구,봉익동,횡단보도
127.00221306671118,37.57465585909565,종로구,효제동,횡단보도
126.98783597790182,37.5683981750929,종로구,관철동,횡단보도
127.00252908709288,37.57638180374086,종로구,연건동,횡단보도
127.00233233913158,37.57598561015185,종로구,연건동,횡단보도
126.99742005435999,37.57344454513741,종로구,인의동,횡단보도
126.99743188665934,37.57329157643273,종로구,인의동,횡단보도
126.99744370724643,37.573479846181236,종로구,인의동,횡단보도
126.99776898185851,37.57245143060327,종로구,인의동,횡단보도
126.99752653093577,37.57244201229629,종로구,인의동,횡단보도
126.99136856937125,37.57273339333421,종로구,묘동,횡단보도
126.98960045748028,37.572627349217704,종로구,낙원동,횡단보도
126.98960342958546,37.57251674113812,종로구,낙원동,횡단보도
126.99505778284225,37.57070514816127,종로구,종로3가,횡단보도
126.97602551572245,37.57548446128427,종로구,세종로,횡단보도
126.99707717237592,37.57082523728295,종로구,종로4가,횡단보도
126.98762598257447,37.5688782408583,종로구,관철동,횡단보도
126.98763788707592,37.56840521462853,종로구,관철동,횡단보도
127.00192390291659,37.57353844407461,종로구,연지동,횡단보도
127.00215341892462,37.57353369522703,종로구,연지동,횡단보도
127.00223985835923,37.573476755009715,종로구,연지동,횡단보도
127.00223388953587,37.573230021144475,종로구,효제동,횡단보도
127.00213254211845,37.57312326312107,종로구,효제동,횡단보도
127.00190898867314,37.57312326694771,종로구,연지동,횡단보도
126.99834632757549,37.589742152282724,종로구,명륜1가,횡단보도
127.00186129880662,37.57318495120592,종로구,연지동,횡단보도
127.00185236218503,37.573407960906,종로구,연지동,횡단보도
126.99459951381176,37.57053568546497,종로구,종로3가,횡단보도
126.99970916348693,37.588365017163326,종로구,혜화동,횡단보도
126.99955413497251,37.58834129231896,종로구,명륜1가,횡단보도
127.00195687765128,37.58067355859964,종로구,연건동,횡단보도
126.98773823852198,37.56945247492959,종로구,관철동,횡단보도
126.98774998862251,37.56991844343219,종로구,종로2가,횡단보도
126.9881490998028,37.57012558072915,종로구,종로2가,횡단보도
126.98813723558305,37.57036326989671,종로구,종로2가,횡단보도
126.98738038027804,37.57009961399053,종로구,종로2가,횡단보도
126.98750754521176,37.56992077139644,종로구,종로2가,횡단보도
126.98613268576081,37.57008300043591,종로구,종로2가,횡단보도
126.98623022591181,37.57023833426781,종로구,종로2가,횡단보도
126.98736259954688,37.570342009188245,종로구,종로2가,횡단보도
126.99703682806641,37.581663081988324,종로구,와룡동,횡단보도
126.97744615148693,37.56994751842621,종로구,세종로,횡단보도
127.00180194276639,37.583902449864404,종로구,혜화동,횡단보도
127.00144718526742,37.58382179185937,종로구,혜화동,횡단보도
127.00075855688831,37.585276102535246,종로구,혜화동,횡단보도
127.00103580637881,37.585143243937914,종로구,혜화동,횡단보도
127.00115803476538,37.585112401116454,종로구,혜화동,횡단보도
126.97912546846247,37.57010903314457,종로구,종로1가,횡단보도
126.99723495817923,37.58151953150801,종로구,연건동,횡단보도
127.01248914183903,37.57002641024621,종로구,창신동,횡단보도
126.99931392538278,37.57098422680847,종로구,종로4가,횡단보도
127.01565180055535,37.5699253380605,종로구,창신동,횡단보도
126.9993228686556,37.57083061117034,종로구,종로4가,횡단보도
126.98542896183767,37.57032060603705,종로구,종로2가,횡단보도
126.97924079857037,37.570031392272796,종로구,종로1가,횡단보도
126.97937680338978,37.570031416109664,종로구,종로1가,횡단보도
127.00381403820745,37.58776383988673,종로구,혜화동,횡단보도
126.98788590328928,37.57047385275599,종로구,종로2가,횡단보도
126.99955124434682,37.573232413869334,종로구,연지동,횡단보도
126.9983170659704,37.58968572416661,종로구,명륜1가,횡단보도
126.99739732955258,37.58921974174874,종로구,명륜1가,횡단보도
127.00478218309928,37.5756264080567,종로구,충신동,횡단보도
126.99728494659321,37.58928327999955,종로구,명륜1가,횡단보도
126.98748084580185,37.570457336908376,종로구,종로2가,횡단보도
126.99958701213805,37.57337950541125,종로구,연지동,횡단보도
126.998600391642,37.57344592621505,종로구,연지동,횡단보도
127.00198354701128,37.57465111829208,종로구,효제동,횡단보도
126.97952017770578,37.57011204398879,종로구,종로1가,횡단보도
126.99837621174969,37.5897916262902,종로구,명륜1가,횡단보도
126.99214950383426,37.56933400548407,종로구,장사동,횡단보도
126.99226471603856,37.57025418079042,종로구,종로3가,횡단보도
126.99204296962934,37.570242399203444,종로구,종로3가,횡단보도
126.99808317949442,37.57066111036637,종로구,종로4가,횡단보도
126.99808317738349,37.57074347830662,종로구,종로4가,횡단보도
126.9980831735838,37.57089174059616,종로구,종로4가,횡단보도
126.98542603408872,37.5701723433729,종로구,종로2가,횡단보도
126.99951018652254,37.590772841268766,종로구,혜화동,횡단보도
126.99935639887238,37.590819907764235,종로구,혜화동,횡단보도
126.99926470364859,37.59227428456833,종로구,혜화동,횡단보도
126.99911682885545,37.592229569693416,종로구,혜화동,횡단보도
126.99605409014316,37.56881116399357,종로구,장사동,횡단보도
126.9978200881897,37.56892196530787,종로구,예지동,횡단보도
126.99234453435727,37.57036008763767,종로구,종로3가,횡단보도
126.99233564056405,37.570593070671535,종로구,종로3가,횡단보도
126.99192171124648,37.570578922854466,종로구,종로3가,횡단보도
126.98975158040525,37.57022104219724,종로구,종로3가,횡단보도
126.99020687741434,37.57040935043282,종로구,종로3가,횡단보도
126.98974268952487,37.57037401046693,종로구,종로3가,횡단보도
126.98973380732959,37.57046343774826,종로구,종로3가,횡단보도
126.99222918775669,37.570722499047896,종로구,종로3가,횡단보도
126.99200152640593,37.570713070364164,종로구,종로3가,횡단보도
127.00029047331576,37.57610662732644,종로구,연건동,횡단보도
