addr,type,lat,lng
서울특별시 성동구 동호로 21(옥수동),지하철,37.5409877747326,127.018965435917
서울특별시 강남구 압구정로 지하172(신사동),지하철,37.5264308236177,127.028480919224
서울특별시 강남구 도산대로 지하102(신사동),지하철,37.5164324582415,127.020326886309
서울특별시 서초구 잠원로4길 지하46(잠원동),지하철,37.5127991148107,127.01122017966
서울특별시 서초구 신반포로 지하188(반포동),지하철,37.5049267445237,127.004949918697
서울특별시 서초구 서초대로 지하294(서초동),지하철,37.4928178646055,127.013838469407
서울특별시 서초구 서초중앙로 지하31(서초동),지하철,37.48514016604,127.016207055102
서울특별시 서초구 남부순환로 지하2585(서초동),지하철,37.4839347328908,127.034544193436
서울특별시 강남구 남부순환로 지하2744(도곡동),지하철,37.4869611285839,127.046614560925
서울특별시 강남구 남부순환로 지하2814(도곡동),지하철,37.4908647717187,127.05532337372
서울특별시 강남구 남부순환로 지하2952(대치동),지하철,37.4945627553067,127.063430193449
서울특별시 강남구 남부순환로 지하3104(대치동),지하철,37.4967171864138,127.071718971861
서울특별시 강남구 일원로 지하2(일원동),지하철,37.4937218597788,127.079493645766
서울특별시 강남구 일원로 지하121(일원동),지하철,37.4840735840284,127.084451750048
서울특별시 강남구 광평로 지하270(수서동),지하철,37.4873889933503,127.101859191018
서울특별시 송파구 송파대로 지하257(가락동),지하철,37.4927440321316,127.118485741487
서울특별시 송파구 중대로 지하149(가락동),지하철,37.4956031419934,127.124067847413
서울특별시 송파구 오금로 지하321(오금동),지하철,37.5022659793733,127.127879247544
서울특별시 노원구 상계로 305(상계동),지하철,37.6702926448965,127.079011159467
서울특별시 노원구 상계로 182(상계동),지하철,37.6609038887184,127.073575379339
서울특별시 노원구 상계로 69-1(상계동),지하철,37.6562677764281,127.063030448739
서울특별시 도봉구 마들로11길 77(창동),지하철,37.6532084846758,127.04768378525
서울특별시 도봉구 도봉로 지하 486-1(창동),지하철,37.6488498649136,127.034880717215
서울특별시 강북구 도봉로 지하338(수유동),지하철,37.6377452337445,127.025356901379
서울특별시 강북구 도봉로 지하198(미아동),지하철,37.6264436445109,127.026103434413
서울특별시 강북구 도봉로 지하50(미아동),지하철,37.6132861094991,127.030098418544
서울특별시 성북구 동소문로 지하248(길음동),지하철,37.6028525619666,127.024653125727
서울특별시 성북구 동소문로 지하102(동선동4가),지하철,37.5927179261346,127.016477649743
서울특별시 성북구 삼선교로 지하1(삼선동1가),지하철,37.5883948842004,127.00595033342
서울특별시 종로구 대학로 지하120(명륜4가),지하철,37.5818036223189,127.001978401429
서울특별시 종로구 율곡로 지하308(종로6가),지하철,37.5704117093421,127.009546610861
서울특별시 중구 장충단로 지하230(광희동2가),지하철,37.5650787698586,127.007550653481
서울특별시 중구 퇴계로 지하214(필동2가),지하철,37.5612890978954,126.994207448462
서울특별시 중구 퇴계로 지하126(충무로2가),지하철,37.5609100751113,126.985947030389
서울특별시 중구 퇴계로 지하54(남창동),지하철,37.5585353196435,126.978239147279
서울특별시 용산구 한강대로 지하392(동자동),지하철,37.5532000173323,126.972805485095
서울특별시 용산구 한강대로 지하306(갈월동),지하철,37.5451939759064,126.971872351838
서울특별시 용산구 한강대로 지하180(한강로1가),지하철,37.5345937063675,126.973011032988
서울특별시 용산구 한강대로 지하112(한강로2가),지하철,37.5296155628471,126.968215931799
서울특별시 용산구 서빙고로 지하83(용산동5가),지하철,37.522520254623,126.973683151228
서울특별시 동작구 현충로 257(동작동),지하철,37.5028703671011,126.980268385443
서울특별시 동작구 동작대로 지하117(사당동),지하철,37.4875538278198,126.982199707405
서울특별시 동작구  동작대로 지하3(사당동),지하철,37.4768632653727,126.981595139341
서울특별시 서초구 과천대로 지하816(방배동),지하철,37.4648575576518,126.988656544337
서울특별시 강서구 금낭화로 지하132(방화동),지하철,37.5770031079469,126.81262993382
서울특별시 강서구 양천로 22(방화동),지하철,37.572270024754,126.806001672732
서울특별시 강서구 하늘길 지하77(방화동),지하철,37.562313207852,126.801278424065
서울특별시 강서구 공항대로 지하33(공항동),지하철,37.5614775483136,126.811055407613
서울특별시 강서구 공항대로 지하163(마곡동),지하철,37.5601984535897,126.825547992125
서울특별시 강서구 공항대로 지하267(마곡동),지하철,37.5590292668195,126.837310771961
서울특별시 강서구 강서로 지하262(화곡동),지하철,37.5490001953873,126.836408931785
서울특별시 강서구 화곡로 지하168(화곡동),지하철,37.5414336176977,126.840496450153
서울특별시 강서구 강서로 지하54(화곡동),지하철,37.5319560847746,126.846611592059
서울특별시 양천구 오목로 지하179(신정동),지하철,37.5252107928783,126.857290392028
서울특별시 양천구 오목로 지하245(목동),지하철,37.52619868083,126.864742584692
서울특별시 양천구 오목로 지하342(목동),지하철,37.5244500703802,126.875354626254
서울특별시 영등포구 양산로 지하21(양평동2가),지하철,37.5255116853806,126.886865676125
서울특별시 영등포구 양산로 지하116(당산동3가),지하철,37.5242266062117,126.895289064995
서울특별시 영등포구 양산로 지하200(영등포동5가),지하철,37.5227345248969,126.904959169819
서울특별시 영등포구 경인로114가길 지하9(영등포동1가),지하철,37.5176677017212,126.914336937521
서울특별시 영등포구 여의나루로 지하40(여의도동),지하철,37.5218423045786,126.924484687694
서울특별시 영등포구 여의동로 지하343(여의도동),지하철,37.5270851610199,126.932863954929
서울특별시 마포구 마포대로 지하33(도화동),지하철,37.5395837885645,126.945920370023
서울특별시 마포구 마포대로 지하100(공덕동),지하철,37.5445267873155,126.951363830233
서울특별시 마포구 마포대로 지하210(아현동),지하철,37.5533624029594,126.95661326016
서울특별시 서대문구 충정로 지하 28-1(충정로3가),지하철,37.5609934378336,126.963373255365
서울특별시 종로구 통일로 지하126(평동),지하철,37.565856271913,126.966637398787
서울특별시 종로구 세종대로 지하172(세종로),지하철,37.5716228232824,126.976787992565
서울특별시 종로구 돈화문로11길 지하 26(돈의동),지하철,37.5725695604894,126.99006167065
서울특별시 중구 창경궁로 지하51(주교동),지하철,37.5675250192617,126.998059555897
서울특별시 중구 마른내로 지하162(광희동1가),지하철,37.5645770081888,127.005916180124
서울특별시 중구 청구로 지하77(신당동),지하철,37.5602939125022,127.013806006802
서울특별시 성동구 금호로 지하154(금호동2가),지하철,37.5545324884294,127.020064146247
서울특별시 성동구 행당로 지하89(행당동),지하철,37.5572784369263,127.029232035475
서울특별시 성동구 왕십리로 지하300(행당동),지하철,37.5612217415191,127.036655378283
서울특별시 성동구 마장로 지하296(마장동),지하철,37.5662827804848,127.043163438528
서울특별시 성동구 천호대로 지하300(용답동),지하철,37.5664458277827,127.05318095956
서울특별시 동대문구 천호대로 지하405(장안동),지하철,37.5615026802954,127.064421108758
서울특별시 광진구 천호대로 지하550(능동),지하철,37.5573631939521,127.079017279019
서울특별시 광진구 천호대로 지하657(능동),지하철,37.5524011361136,127.08937059931
서울특별시 광진구 아차산로 지하571(광장동),지하철,37.5452786641598,127.103686533578
서울특별시 강동구 천호대로 지하997(천호동),지하철,37.5385789820645,127.123742434482
서울특별시 강동구 천호대로 지하1097(천호동),지하철,37.5357793773303,127.132720388453
서울특별시 강동구 양재대로 지하1480(길동),지하철,37.5378115570072,127.13999920444
서울특별시 강동구 양재대로 지하1572(명일동),지하철,37.5457314720664,127.142970847846
서울특별시 강동구 양재대로 지하1632(명일동),지하철,37.551257212513,127.144000696892
서울특별시 강동구 고덕로 지하253(고덕동),지하철,37.5550473189056,127.15394941502
서울특별시 강동구 고덕로 지하359(상일동),지하철,37.5566643781876,127.165829221931
서울특별시 강동구 양재대로 지하1369(둔촌동),지하철,37.5276413733277,127.136190298465
서울특별시 송파구 양재대로 지하1233(방이동),지하철,37.5160876492782,127.130600140827
서울특별시 송파구 양재대로 지하1127(방이동),지하철,37.5085564458698,127.125854699016
서울특별시 송파구 오금로 지하321(오금동),지하철,37.5022659793733,127.127879247544
서울특별시 송파구 오금로 지하402(가락동),지하철,37.4978146566399,127.135158595127
서울특별시 송파구 오금로 지하499(거여동),지하철,37.4932073280335,127.144032331306
서울특별시 송파구 마천로57길 지하7(마천동),지하철,37.4946706182588,127.152320621872
서울특별시 강동구 고덕로 지하456(강일동),지하철,37.5575265973614,127.175938009116
서울특별시 은평구 증산로 지하477(신사동),지하철,37.5987423282207,126.915512801302
서울특별시 은평구 서오릉로 지하63(녹번동),지하철,37.6060390534435,126.922967946327
서울특별시 은평구 통일로 지하723-1(대조동),지하철,37.6102072578868,126.92998576213
서울특별시 은평구 불광로 지하129-1(불광동),지하철,37.6183988849915,126.932810138476
서울특별시 은평구 통일로 지하849(갈현동),지하철,37.618962003178,126.921162124977
서울특별시 은평구 연서로 지하137-1(구산동),지하철,37.6112122196295,126.917182386796
서울특별시 은평구 증산로 지하400(신사동),지하철,37.5918270544017,126.913911983591
서울특별시 은평구 증산로 지하306(증산동),지하철,37.5841954778004,126.910057587886
서울특별시 은평구 수색로 지하175(증산동),지하철,37.5771614352661,126.901928562926
서울특별시 마포구 월드컵로 지하240(성산동),지하철,37.569942569034,126.899033325814
서울특별시 마포구 월드컵로 지하190(성산동),지하철,37.5634263131969,126.903356973848
서울특별시 마포구 월드컵로 지하77(망원동),지하철,37.5560572923314,126.910033925408
서울특별시 마포구 양화로 지하45(합정동),지하철,37.5492591944858,126.913190884167
서울특별시 마포구 독막로 지하85(상수동),지하철,37.5477716665856,126.922409857908
서울특별시 마포구 독막로 지하165(창전동),지하철,37.5474860706906,126.931939240491
