bus_stop_id,bus_stop_nm,lng,lat,type
1165,삼성강북병원.경교장,126.9686004828,37.568145927,버스정류장
1167,독립문역.서대문형무소역사관,126.959322,37.573395,버스정류장
1168,금화초등학교.서울시교육청,126.964867,37.567879,버스정류장
1169,서대문역사거리.적십자병원,126.9675878497,37.5671081521,버스정류장
1171,독립문,126.9614303112,37.5713430165,버스정류장
1172,창덕궁.우리소리박물관,126.9885394479,37.5775405746,버스정류장
1173,서린동.SK서린빌딩,126.9800947893,37.5692639006,버스정류장
1174,청계1가.장통교,126.9849267193,37.568684389,버스정류장
1175,청계2가.수표교,126.9908172161,37.5684453156,버스정류장
1176,청계4가.세운교,126.9965617399,37.5689254028,버스정류장
1177,청계5가.광장시장,126.9997973605,37.5694512793,버스정류장
1198,원남동,126.9973383362,37.5745325055,버스정류장
1199,창덕궁.우리소리박물관,126.9889538872,37.5772726542,버스정류장
1200,안국역6번출구.인사동문화의거리,126.9841344381,37.575798979,버스정류장
1201,조계사.종로경찰서,126.9831555803,37.5725223095,버스정류장
1202,조계사.종로경찰서,126.9828258888,37.5724858087,버스정류장
1203,안국동사거리,126.9827201116,37.5746105669,버스정류장
1204,효제동.김상옥의거터,127.00223,37.5745,버스정류장
1205,종로5가.효제초등학교,127.0021442279,37.5728790133,버스정류장
1209,창덕궁.돈화문국악당,126.991234977,37.5774327721,버스정류장
1212,종로5가역6번출구,127.0021826522,37.5705596025,버스정류장
1213,청계5가.마전교,127.0028494203,37.5698351103,버스정류장
1214,동대문,127.0084126252,37.5717262368,버스정류장
1215,충신동,127.006278812,37.5740223509,버스정류장
1217,충신동,127.0063433807,37.5744602778,버스정류장
1218,연지공원앞,127.0008065808,37.5759104142,버스정류장
1219,방송통신대.이화장,127.002437,37.578043,버스정류장
1220,혜화역2번출구.마로니에공원,127.0022769364,37.5811194873,버스정류장
1221,혜화역3번출구.서울대병원입구,127.0018481852,37.5809559696,버스정류장
1222,방송통신대.이화장,127.0019782952,37.5777889737,버스정류장
1223,연지공원앞,127.0006951494,37.576119355,버스정류장
1224,창경궁.서울대학교병원,126.9968717143,37.5788279947,버스정류장
1225,이화동(이화장),127.0032708172,37.5759372914,버스정류장
1226,혜화동로터리,127.0006878052,37.5855803307,버스정류장
1227,명륜동2가.성균관대입구,126.9993412723,37.5834170764,버스정류장
2291,남산예장버스환승주차장,126.989289,37.55974,버스정류장
1228,혜화역.서울연극센터(장면총리가옥),127.0014608831,37.5840306853,버스정류장
1229,혜화역.동성중고(장면총리가옥),127.0015561579,37.5845329425,버스정류장
1231,종로구민회관.창신동두산아파트,127.0155555279,37.5740926792,버스정류장
1235,동묘앞역6번출구,127.0156014431,37.5716849566,버스정류장
1236,동묘앞역5번출구,127.0159450485,37.5719221488,버스정류장
1237,청계2가교차로,126.9878778705,37.5684809008,버스정류장
1238,창신3동주민센터,127.015178,37.578413,버스정류장
1239,숭인1동주민센터.창신역4번출구,127.0154557816,37.5786281555,버스정류장
1240,동묘앞역.롯데캐슬천지인,127.0158023517,37.5741800523,버스정류장
1243,신설동역오거리,127.0228414296,37.5756947252,버스정류장
1245,동묘앞역2번출구,127.0175234975,37.5736431148,버스정류장
1246,구기동현대빌라,126.956622,37.609682,버스정류장
1247,광장시장,126.9977437946,37.5694963125,버스정류장
1249,서울특별시재향군인회관,126.9974787875,37.5725807445,버스정류장
1250,서울역사박물관,126.9721318077,37.5699003386,버스정류장
1251,청계3가.관수교,126.9937793705,37.5686887917,버스정류장
1252,청계6가.버들다리,127.0080377075,37.5699303868,버스정류장
1253,청계7가.맑은내다리,127.0130967122,37.5700419608,버스정류장
1254,청계8가.영도교,127.0181256262,37.5708949889,버스정류장
1256,원남동사거리,126.9981123217,37.5757617378,버스정류장
1262,숭인2동주민센터,127.0204373408,37.5742721533,버스정류장
1267,조계사,126.9831609226,37.572800338,버스정류장
1272,세종문화회관,126.9770167126,37.5733655664,버스정류장
1277,이화동(이화장),127.002955,37.576257,버스정류장
1278,상명대정문,126.955143,37.601417,버스정류장
1279,이북오도청,126.9559729686,37.6127234824,버스정류장
1280,경복궁역(효자로입구),126.9743023448,37.576709505,버스정류장
1286,상명대입구.세검정교회,126.9597921957,37.5994435122,버스정류장
1287,상명대입구.석파랑,126.9581941404,37.5995718125,버스정류장
1288,종로중부새마을금고,127.0065911394,37.5724174899,버스정류장
1289,신설동역오거리.서울풍물시장,127.0231950517,37.5742548131,버스정류장
1291,청계2가.삼일교,126.9869890809,37.5683454305,버스정류장
1292,청계8가.황학교,127.0227870051,37.5721307298,버스정류장
1293,평창동삼성아파트,126.9787981475,37.6111800895,버스정류장
1294,안국역5번출구,126.9855365486,37.5763329308,버스정류장
1295,안국역.서울공예박물관,126.9848871214,37.5764140065,버스정류장
1296,창덕궁,126.9890031166,37.5772280879,버스정류장
1297,남인사마당,126.9874286375,37.5713191723,버스정류장
1500,평창파출소,126.9668167021,37.605681218,버스정류장
1501,삼청공원,126.9816468946,37.5882276807,버스정류장
1502,수성동계곡,126.9644678921,37.5820813834,버스정류장
1503,명륜3가종점,126.9928636796,37.5909483783,버스정류장
1504,명륜새마을금고,126.9967901477,37.5877854691,버스정류장
1505,서대문역3번출구,126.9663939394,37.5663370645,버스정류장
1506,낙산공원,127.0087215681,37.5804037213,버스정류장
1507,인사미술공간.세탁소,126.9893670844,37.5814109836,버스정류장
1508,화정박물관,126.9648837454,37.6048011982,버스정류장
1509,금융연수원,126.9816582681,37.5866398268,버스정류장
1510,박노수미술관,126.966603478,37.5809967425,버스정류장
1511,샘미용실.종로구청소년상담복지센터,126.9932227051,37.5903095275,버스정류장
1512,서울국제고등학교,126.9972902593,37.5890715947,버스정류장
1513,화정박물관,126.9652007897,37.6049806084,버스정류장
1514,적십자병원후문앞,126.964905806,37.5679079449,버스정류장
1515,서울성곽.성대후문,126.989569366,37.5893663808,버스정류장
1516,빨래터.고희동미술관,126.9890634276,37.582987218,버스정류장
1517,세검초등학교,126.9614907597,37.6042522792,버스정류장
1518,삼청동주민센터,126.9819071619,37.5842638281,버스정류장
