idx,node_id,node_type_code,lon,lat,sigungu_code,sigungu_name,emd_code,emd_name
84,136787,0,126.9995102,37.59077284,1111000000,종로구,1111016900,혜화동
85,136786,0,126.9993564,37.59081991,1111000000,종로구,1111016900,혜화동
86,136781,0,126.9992647,37.59227428,1111000000,종로구,1111016900,혜화동
87,136780,0,126.9991168,37.59222957,1111000000,종로구,1111016900,혜화동
88,173912,0,126.9986002,37.58305549,1111000000,종로구,1111017100,명륜2가
89,173911,0,126.9987016,37.58296772,1111000000,종로구,1111017100,명륜2가
90,135469,0,126.9908391,37.57451956,1111000000,종로구,1111013000,와룡동
91,138220,0,127.003814,37.58776384,1111000000,종로구,1111016900,혜화동
92,137212,0,126.9986986,37.58317412,1111000000,종로구,1111017100,명륜2가
93,137208,0,126.9987612,37.58319784,1111000000,종로구,1111017100,명륜2가
94,136779,0,126.9960718,37.56872644,1111000000,종로구,1111015400,장사동
95,135471,0,126.9911171,37.5736253,1111000000,종로구,1111015100,묘동
96,136549,0,126.9976432,37.57599972,1111000000,종로구,1111015900,원남동
97,136552,0,126.9975013,37.57560435,1111000000,종로구,1111015900,원남동
98,137669,0,127.0020284,37.5786214,1111000000,종로구,1111016600,연건동
99,137038,0,127.0001414,37.5841492,1111000000,종로구,1111017100,명륜2가
100,137021,0,127.0016798,37.58589055,1111000000,종로구,1111016900,혜화동
101,173910,2,126.9985943,37.58287282,1111000000,종로구,1111017200,명륜4가
102,137020,0,127.0015367,37.58595698,1111000000,종로구,1111016900,혜화동
103,137019,2,127.0017603,37.58624642,1111000000,종로구,1111016900,혜화동
104,137018,0,127.0013936,37.58601155,1111000000,종로구,1111016900,혜화동
105,135476,0,126.9910608,37.57456664,1111000000,종로구,1111013000,와룡동
106,137016,0,127.0009971,37.58592615,1111000000,종로구,1111016900,혜화동
107,136658,0,126.9973875,37.5742141,1111000000,종로구,1111015700,인의동
108,136659,0,126.99763,37.57423057,1111000000,종로구,1111015700,인의동
109,135986,0,126.9982668,37.58984575,1111000000,종로구,1111017000,명륜1가
110,173909,0,126.9985972,37.58310057,1111000000,종로구,1111017100,명륜2가
111,167300,0,126.9606546,37.57212587,1111000000,종로구,1111018000,교북동
112,136664,0,126.9976094,37.57132652,1111000000,종로구,1111015700,인의동
113,136665,0,126.9978666,37.571343,1111000000,종로구,1111015700,인의동
114,137714,0,127.002395,37.57862376,1111000000,종로구,1111016800,동숭동
115,137719,0,127.0020283,37.57639605,1111000000,종로구,1111016600,연건동
116,137720,0,127.0024546,37.57603543,1111000000,종로구,1111016600,연건동
117,137724,0,127.0025291,37.5763818,1111000000,종로구,1111016600,연건동
118,31068,0,126.9792408,37.56920818,1111000000,종로구,1111012300,서린동
119,10347,0,126.9901221,37.56829714,1111000000,종로구,1111015500,관수동
120,141924,0,127.0055095,37.57494549,1111000000,종로구,1111016700,충신동
121,10348,0,126.9922449,37.56845856,1111000000,종로구,1111015500,관수동
122,136778,0,126.9960541,37.56881116,1111000000,종로구,1111015400,장사동
123,137730,0,127.0023323,37.57598561,1111000000,종로구,1111016600,연건동
124,10349,0,126.9924985,37.56847505,1111000000,종로구,1111015400,장사동
125,136627,0,126.9974201,37.57344455,1111000000,종로구,1111015700,인의동
126,152890,0,127.0084843,37.57274439,1111000000,종로구,1111016400,종로6가
127,136628,0,126.9974319,37.57329158,1111000000,종로구,1111015700,인의동
128,136750,0,126.9978201,37.56892197,1111000000,종로구,1111015800,예지동
129,136631,0,126.9974437,37.57347985,1111000000,종로구,1111015700,인의동
130,135670,0,126.9923445,37.57036009,1111000000,종로구,1111015600,종로3가
131,135669,0,126.9923356,37.57059307,1111000000,종로구,1111015600,종로3가
132,135667,0,126.9919217,37.57057892,1111000000,종로구,1111015600,종로3가
133,135665,0,126.9897516,37.57022104,1111000000,종로구,1111015600,종로3가
134,135659,2,126.9902069,37.57040935,1111000000,종로구,1111015600,종로3가
135,135658,0,126.9897427,37.57037401,1111000000,종로구,1111015600,종로3가
136,135657,0,126.9897338,37.57046344,1111000000,종로구,1111015600,종로3가
137,136634,0,126.997769,37.57245143,1111000000,종로구,1111015700,인의동
138,135653,0,126.9922292,37.5707225,1111000000,종로구,1111015600,종로3가
139,135652,0,126.9920015,37.57071307,1111000000,종로구,1111015600,종로3가
140,136635,0,126.9975265,37.57244201,1111000000,종로구,1111015700,인의동
141,137808,0,127.0002905,37.57610663,1111000000,종로구,1111016600,연건동
142,136742,0,126.9980832,37.57089174,1111000000,종로구,1111016100,종로4가
143,136741,0,126.9980832,37.57074348,1111000000,종로구,1111016100,종로4가
144,136740,0,126.9980832,37.57066111,1111000000,종로구,1111016100,종로4가
145,136704,2,126.9945995,37.57053569,1111000000,종로구,1111015600,종로3가
146,136703,0,126.9970772,37.57082524,1111000000,종로구,1111016100,종로4가
147,136702,0,126.9950578,37.57070515,1111000000,종로구,1111015600,종로3가
148,135569,0,126.9896034,37.57251674,1111000000,종로구,1111013700,낙원동
149,135565,0,126.9896005,37.57262735,1111000000,종로구,1111013700,낙원동
150,135559,0,126.9913686,37.57273339,1111000000,종로구,1111015100,묘동
151,16175,0,127.0156592,37.56972627,1111000000,종로구,1111017400,창신동
152,163380,0,126.9986153,37.57328935,1111000000,종로구,1111016000,연지동
153,14253,0,127.018917,37.57132045,1111000000,종로구,1111017500,숭인동
154,14273,0,127.0054138,37.57098114,1111000000,종로구,1111016300,종로5가
155,15426,0,126.9695031,37.56833834,1111000000,종로구,1111012100,신문로2가
156,14338,0,126.9700204,37.58515009,1111000000,종로구,1111010100,청운동
157,215411,0,126.9916995,37.57252269,1111000000,종로구,1111015100,묘동
158,215418,0,126.9893872,37.57010535,1111000000,종로구,1111013800,종로2가
159,215419,0,126.9895151,37.57010806,1111000000,종로구,1111015600,종로3가
160,215420,0,126.9896461,37.5683647,1111000000,종로구,1111015500,관수동
161,152910,0,127.008953,37.57223173,1111000000,종로구,1111016400,종로6가
162,168948,0,126.9950637,37.57056159,1111000000,종로구,1111015600,종로3가
163,67332,0,126.9635262,37.59519094,1111000000,종로구,1111018400,부암동
164,152909,0,127.0087574,37.57227751,1111000000,종로구,1111016400,종로6가
165,14346,0,126.9715093,37.57963446,1111000000,종로구,1111010500,창성동
166,14344,0,126.9728199,37.58388907,1111000000,종로구,1111010300,궁정동
167,152908,0,127.0086166,37.57252011,1111000000,종로구,1111016400,종로6가
168,72803,0,126.9812129,37.58156146,1111000000,종로구,1111014300,화동
169,152907,0,126.9742209,37.57716111,1111000000,종로구,1111011900,세종로
170,89717,0,127.0232226,37.57211885,1111000000,종로구,1111017500,숭인동
171,89743,0,126.9812545,37.56918711,1111000000,종로구,1111012300,서린동
172,10554,0,126.985686,37.56847729,1111000000,종로구,1111013500,관철동
173,35982,0,126.9875844,37.57252153,1111000000,종로구,1111013700,낙원동
174,193403,0,126.9993165,37.57090356,1111000000,종로구,1111016100,종로4가
175,167278,0,126.9875433,37.56841226,1111000000,종로구,1111013500,관철동
176,14175,2,127.0187759,37.57391419,1111000000,종로구,1111017500,숭인동
177,14169,0,127.0172462,37.5735554,1111000000,종로구,1111017500,숭인동
178,215421,0,126.9894383,37.56835336,1111000000,종로구,1111015500,관수동
179,215448,0,126.9892183,37.57042003,1111000000,종로구,1111013800,종로2가
180,215449,0,126.9896333,37.57045402,1111000000,종로구,1111015600,종로3가
181,14269,0,127.0187087,37.57121001,1111000000,종로구,1111017400,창신동
182,152895,0,126.9565827,37.60862361,1111000000,종로구,1111018200,구기동
183,168947,2,126.9950578,37.57062984,1111000000,종로구,1111015600,종로3가
184,168927,0,126.9977453,37.57325864,1111000000,종로구,1111015700,인의동
185,152896,0,126.9572012,37.60831319,1111000000,종로구,1111018200,구기동
186,168926,0,126.9977098,37.57320215,1111000000,종로구,1111015700,인의동
187,168925,0,126.9974674,37.57323274,1111000000,종로구,1111015700,인의동
188,167279,0,126.987438,37.56823672,1111000000,종로구,1111013500,관철동
189,71724,0,126.9702954,37.58516428,1111000000,종로구,1111010100,청운동
190,67035,0,126.9556816,37.57683878,1111000000,종로구,1111018700,무악동
191,67036,0,126.9553742,37.5766857,1111000000,종로구,1111018700,무악동
192,195675,0,127.0047822,37.57562641,1111000000,종로구,1111016700,충신동
193,14194,0,127.019282,37.57413965,1111000000,종로구,1111017500,숭인동
194,152906,0,126.9740199,37.57713282,1111000000,종로구,1111010600,통의동
195,168946,0,126.9950696,37.57046981,1111000000,종로구,1111015600,종로3가
196,72457,0,126.9737,37.57033152,1111000000,종로구,1111012000,신문로1가
197,168945,0,126.995383,37.57064162,1111000000,종로구,1111016100,종로4가
198,74639,0,127.0016141,37.58292264,1111000000,종로구,1111017200,명륜4가
199,168944,0,126.9954037,37.5704863,1111000000,종로구,1111016100,종로4가
