idx,dtlstatenm,nm,type,addr,lat,lng
51,영업중,서울특별시어린이병원,병원,서울특별시 서초구 헌릉로 260 (내곡동),37.4557172797141,127.068851404997
53,영업중,학교법인가톨릭학원가톨릭대학교서울성모병원,병원,서울특별시 서초구 반포대로 222 (반포동),37.5023936158073,127.005860604348
54,영업중,서울숭인병원,병원,"서울특별시 종로구 종로 386, 6.7.8.9층 (숭인동)",,
55,영업중,세란병원,병원,서울특별시 종로구 통일로 256 (무악동),37.5753392693516,126.95770832178
56,영업중,서울대학교치과병원,병원,서울특별시 종로구 대학로 101 (연건동),37.5804523853297,126.997196437908
57,영업중,리움한방병원,병원,"서울특별시 종로구 대학로 89, 대학로빌딩 지하1, 지상2~6층 (연건동)",37.5792304768008,127.001809991044
58,영업중,강북삼성병원,병원,서울특별시 종로구 새문안로 29 (평동),37.5688677261045,126.967812703696
67,영업중,반도정형외과병원,병원,"서울특별시 중구 동호로 202, 반도정형외과 (신당동)",37.5559931963298,127.010110415753
68,영업중,더블유치과병원,병원,"서울특별시 중구 장충단로 263, 밀리오레상가건물 14층 (을지로6가)",37.5681156942942,127.008472686741
69,영업중,국립중앙의료원,병원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",37.5677264605676,127.005484601979
70,영업중,유치과병원,병원,"서울특별시 중구 다산로 175, 3층 (신당동, 명덕빌딩)",37.5592938191734,127.012891334533
71,영업중,라임나무치과병원,병원,"서울특별시 중구 명동길 43, 7층 (명동1가, 신한은행)",37.5639981807195,126.9847370548
72,영업중,연세스위트치과병원,병원,"서울특별시 중구 퇴계로 447, 221~213호 (황학동, 황학 아크로타워)",,
73,영업중,서울송도병원,병원,"서울특별시 중구 다산로 78, 송도병원 (신당동)",37.5511665956999,127.008381705394
74,영업중,한누리치과병원,병원,"서울특별시 중구 퇴계로 97, 3층 306호 (충무로1가, 고려대연각센터빌딩)",37.5609575542822,126.982545572081
81,영업중,순천향대학교 부속 서울병원,병원,서울특별시 용산구 대사관로 59 (한남동),37.5342808357653,127.003878033451
82,영업중,금강아산병원(재단법인 아산사회복지재단),병원,서울특별시 용산구 이촌로 318 (이촌동),37.5176798435221,126.98273008257
90,영업중,서울효사랑요양병원,병원,서울특별시 성동구 동일로 93 (성수동2가),37.54114957538,127.063100424635
95,영업중,9988병원,병원,서울특별시 성동구 왕십리로 269 (행당동),37.5586057086894,127.037479052118
96,영업중,서울특별시장애인치과병원,병원,서울특별시 성동구 마장로 207 (홍익동),37.5666490290112,127.03282405576
97,영업중,시온요양병원,병원,"서울특별시 성동구 자동차시장1길 85, 지하1,지상3~5층 (용답동, JS빌딩)",,
98,영업중,굿모닝요양병원,병원,"서울특별시 성동구 천호대로 436, 2~7층 (용답동)",,
100,영업중,학교법인대진교육재단 제인병원,병원,서울특별시 성동구 광나루로 243 (송정동),37.5494612677553,127.056943711312
101,영업중,서울프라임병원,병원,"서울특별시 광진구 동일로 92-1, B1~2, 2~7층 (자양동)",37.5408266646495,127.063590210516
102,영업중,연세슬기병원,병원,서울특별시 성동구 무학로2길 8 (도선동),37.5642703458178,127.030678010912
103,영업중,연세바로척병원,병원,서울특별시 성동구 동일로 133 (성수동2가),37.5443991308812,127.064908803881
109,영업중,재단법인베스티안재단베스티안서울병원,병원,서울특별시 성동구 왕십리로 382 (하왕십리동),37.5651102845783,127.028019796271
