idx,dtlstatenm,addr,nm,type,lat,lng
42,영업중,서울특별시 강동구 성안로 201 (천호동),인성체육관,학원,37.5409277916176,127.136892690608
43,영업중,서울특별시 강동구 명일로12길 10 (둔촌동),선린 K태권스쿨,학원,37.5336132397405,127.145236538949
44,영업중,"서울특별시 강동구 고덕로62길 지하 48 (명일동, 신동아아파트)",탑복싱클럽,학원,,
45,영업중,"서울특별시 강동구 고덕로62길 지하 27 (명일동, 명일삼환아파트)",가온검도관,학원,,
46,영업중,"서울특별시 강동구 고덕로61길 34, 2층 (고덕동)",힘찬태권도,학원,37.5563372540674,127.15362035394
47,영업중,"서울특별시 강동구 천호대로221길 37, -1층 (상일동)",세계로새암태권도,학원,37.5485700064402,127.172614977185
48,영업중,"서울특별시 강동구 올림픽로 572, 204호 (성내동, 코오롱 2차아파트)",ITC태권도장,학원,37.5325527506318,127.121818623477
49,영업중,"서울특별시 강동구 구천면로 323 (암사동, 개나리프라자)",비전태권도,학원,37.5484151003879,127.135241872797
50,영업중,"서울특별시 강동구 명일로16길 25, 3층 (길동)",한국체대석사 태풍태권도장,학원,37.5372723168382,127.147541286863
51,영업중,"서울특별시 강동구 구천면로 283 (천호동, 삼원빌딩)",(직)천호검도체육관,학원,37.5453810380188,127.133136970009
52,영업중,서울특별시 강동구 양재대로 1603 (천호동),이승원 유도관(강동점),학원,37.5487905167291,127.143362463805
53,영업중,"서울특별시 강동구 양재대로133길 41, 2층 (천호동)",건국태권도장,학원,37.5479213432039,127.141027061527
54,영업중,"서울특별시 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕)",KTIGERS 태동태권도장,학원,37.5576864625383,127.148577708994
55,영업중,"서울특별시 강동구 고덕로 96, 2층 (암사동)",K태권스쿨,학원,37.554532736215,127.135832933352
56,영업중,서울특별시 강동구 동남로81길 44 (고덕동),한국체대 김근태 태권도,학원,37.560018557384,127.154508566649
57,영업중,"서울특별시 강동구 올림픽로 626, 지층 (성내동)",용인대SM복싱클럽 천호역점,학원,37.5372289784816,127.1232595605
58,영업중,서울특별시 강동구 구천면로 475 (명일동),튼튼태권도장,학원,37.549353435076,127.151184422425
59,영업중,서울특별시 강동구 고덕로24길 9 (암사동),경용태권도,학원,37.5542939530491,127.135771047814
