idx,nm,addr,type,lat,lng
69,인헌중학교,서울특별시 관악구 인헌9길 35,학교,37.4726853122526,126.968848481233
70,영등포중학교,서울특별시 동작구 등용로8길 5,학교,37.5080854131193,126.933143709837
71,신림중학교,서울특별시 관악구 신림로 40,학교,37.4703273364656,126.946003990797
72,신관중학교,서울특별시 관악구 신림로48길 17-16,학교,37.4802012453571,126.934452241482
73,숭의여자중학교,서울특별시 동작구 여의대방로36길 79,학교,37.507364139341,126.92924328346
74,성보중학교,서울특별시 관악구 남부순환로156길 39,학교,37.4807283676946,126.920957326353
75,성남중학교,서울특별시 동작구 대방동길 74,학교,37.5052815748623,126.926615278225
76,서울문영여자중학교,서울특별시 관악구 관악로 85,학교,37.4729045674501,126.950918062755
77,상현중학교,서울특별시 동작구 사당로2길 2-19,학교,37.4941557795456,126.960607735677
78,상도중학교,서울특별시 동작구 사당로2가길 72,학교,37.4909219003444,126.961475595626
79,삼성중학교,서울특별시 관악구 신림로3가길 39-24,학교,37.4676058987272,126.942513213832
80,사당중학교,서울특별시 동작구 사당로9가길 58,학교,37.4877611854985,126.968540661313
81,봉원중학교,서울특별시 관악구 관악로24가길 15,학교,37.4841027415012,126.958890911497
82,봉림중학교,서울특별시 관악구 장군봉길 72,학교,37.4811981682395,126.937702673305
83,미성중학교,서울특별시 관악구 문성로16길 40,학교,37.4753828116217,126.912088901502
84,문창중학교,서울특별시 동작구 여의대방로22나길 40,학교,37.4958609410012,126.922405470441
85,동작중학교,서울특별시 동작구 동작대로39가길 83,학교,37.4954619461448,126.977801624632
86,동양중학교,서울특별시 동작구 흑석로9길 94,학교,37.5102231403469,126.957477481379
87,대방중학교,서울특별시 동작구 여의대방로10길 24,학교,37.4954367843295,126.91301619957
88,당곡중학교,서울특별시 관악구 봉천로13길 101,학교,37.4923586311415,126.932678731475
89,남성중학교,서울특별시 동작구 남부순환로269길 166,학교,37.4790082237647,126.97241407945
90,남서울중학교,서울특별시 관악구 남부순환로172길 97,학교,37.4821362472153,126.921037135349
91,남강중학교,서울특별시 관악구 난곡로34길 80,학교,37.4713756726623,126.924909105757
92,난우중학교,서울특별시 관악구 난곡로16길 32,학교,37.4668039555901,126.922828324577
93,국사봉중학교,서울특별시 동작구 양녕로20길 20,학교,37.493532631943,126.944055659373
94,구암중학교,서울특별시 관악구 성현로 53,학교,37.4927662360841,126.949035651603
95,광신중학교,서울특별시 관악구 광신길 141,학교,37.4644762024804,126.925940565455
96,관악중학교,서울특별시 관악구 남부순환로237길 60,학교,37.4812582784976,126.961912338875
97,강현중학교,서울특별시 동작구 상도로13라길 22,학교,37.5031159857549,126.930756309893
98,강남중학교,서울특별시 동작구 대방동15길 29,학교,37.5027626308253,126.923346619702
99,중앙대학교사범대학부속초등학교,서울특별시 동작구 서달로 135,학교,37.5052685494717,126.960162287237
100,서울흑석초등학교,서울특별시 동작구 현충로 87,학교,37.5082970524535,126.965149160443
101,서울행림초등학교,서울특별시 동작구 솔밭로 47,학교,37.4828114848946,126.964977725041
102,서울청룡초등학교,서울특별시 관악구 관악로5길 61,학교,37.4767252713626,126.951284574125
103,서울조원초등학교,서울특별시 관악구 조원로 67,학교,37.484127765974,126.909505620969
104,서울인헌초등학교,서울특별시 관악구 낙성대로 23,학교,37.4767753536009,126.959875787277
105,서울은천초등학교,서울특별시 관악구 은천로 69,학교,37.4865852040387,126.942679132637
106,서울은로초등학교,서울특별시 동작구 서달로 115,학교,37.5033929766399,126.959778422441
107,서울원신초등학교,서울특별시 관악구 광신길 177,학교,37.4672075457163,126.92727524954
108,서울원당초등학교,서울특별시 관악구 봉천로 505,학교,37.4813047920283,126.955766635019
109,서울영화초등학교,서울특별시 동작구 등용로8길 3,학교,37.5089369468762,126.932815969374
110,서울영본초등학교,서울특별시 동작구 만양로12가길 69,학교,37.5113065101691,126.94864052145
111,서울신우초등학교,서울특별시 관악구 호암로 498,학교,37.4632725256816,126.932535154048
112,서울신성초등학교,서울특별시 관악구 신림로 114,학교,37.472003312266,126.936754150323
113,서울신상도초등학교,서울특별시 동작구 장승배기로 14,학교,37.5008246344742,126.943817704578
114,서울신봉초등학교,서울특별시 관악구 양녕로6나길 1,학교,37.4855779476851,126.949130876206
115,서울신림초등학교,서울특별시 관악구 문성로28길 31,학교,37.4771198534832,126.926876735629
116,서울신남성초등학교,서울특별시 동작구 사당로 146,학교,37.4887047110087,126.964679741398
117,서울신길초등학교,서울특별시 동작구 알마타길 16,학교,37.5103665150217,126.926808573769
118,서울상현초등학교,서울특별시 동작구 상도로58길 21,학교,37.4948743920855,126.952669123087
119,서울상도초등학교,서울특별시 동작구 성대로21길 62,학교,37.5003760295043,126.937378799359
120,서울삼일초등학교,서울특별시 동작구 사당로23나길 27,학교,37.4882593140973,126.975188515742
121,서울삼성초등학교,서울특별시 관악구 대학7길 52,학교,37.4685220375851,126.940492900894
122,서울사당초등학교,서울특별시 관악구 남현4길 51,학교,37.4738196175948,126.973366964486
123,서울봉현초등학교,서울특별시 관악구 성현로 117,학교,37.4912022088395,126.955347165898
124,서울봉천초등학교,서울특별시 관악구 행운1라길 17,학교,37.4832732140812,126.95820924848
125,서울본동초등학교,서울특별시 동작구 노량진로26길 16-40,학교,37.5106568125953,126.953923907042
126,서울보라매초등학교,서울특별시 동작구 여의대방로16길 30,학교,37.4958518874539,126.916144507788
127,서울미성초등학교,서울특별시 관악구 문성로 79,학교,37.4783399695494,126.912392273996
128,서울문창초등학교,서울특별시 동작구 신대방2길 14,학교,37.4889482943857,126.914528045959
