idx,nm,addr_old,addr,permission_dt,state,area,post,owner_type,xcode,ycode,permission_no,detail_stat_nm
24,이익훈어학2관학원,"서울특별시 서초구 서초동 1327-13번지 401호, 6~12층 ","서울특별시 서초구 서초대로78길 36 (서초동,401호, 6~12층)",20110405,운영중,2030.69,137858,,202489.82770300000  ,443917.58361100000  ,3210000-210-2011-00011,영업
25,피에스에이어학학원,서울특별시 서초구 서초동 1343-14번지 (1-5층) ,"서울특별시 서초구 효령로 388 (서초동,(1-5층))",20110405,운영중,2022.54,137861,,202333.11031200000  ,443127.43862000000  ,3210000-210-2011-00012,영업
26,고려학원빌딩,서울특별시 종로구 숭인동 1368번지 ,서울특별시 종로구 난계로 257 (숭인동),20080102,운영중,3742.00,110828,,202026.32073300000  ,452788.11275300000  ,3000000-210-2008-00227,영업
27,동국대학교 전자계산전공학원,서울특별시 중구 필동3가 26번지 혜화관 ,,20070331,운영중,2501.49,100273,,,,3010000-210-2007-00405,영업
28,종로학원,서울특별시 중구 중림동 363번지 종로학원 ,"서울특별시 중구 청파로 456 (중림동,종로학원)",20070331,운영중,3227.94,100859,,197226.17362200000  ,451169.45884600000  ,3010000-210-2007-00406,영업
29,상계세일학원,서울특별시 노원구 상계동 591-7번지 ,서울특별시 노원구 상계로1길 34 (상계동),20150427,운영중,2144.00,139821,,205454.32025600000  ,461991.36794100000  ,3100000-210-2015-00107,영업
30,강북메가스터디 입시학원,서울특별시 노원구 상계동 709-2번지 ,서울특별시 노원구 노해로 459 (상계동),20150427,운영중,2712.00,139942,,205206.22826500000  ,461626.77351500000  ,3100000-210-2015-00108,영업
31,삼육외국어학원,서울특별시 동대문구 휘경동 287-1번지 ,서울특별시 동대문구 망우로18길 33 (휘경동),20070405,운영중,5644.00,130878,자가,205576.58200900000  ,454289.21023000000  ,3050000-210-2007-00249,영업
32,제일학원,서울특별시 동대문구 제기동 1015번지 경동빌딩2~6층 (왕산로 285) ,"서울특별시 동대문구 왕산로 147 (제기동,경동빌딩2~6층 (왕산로 285))",20070405,운영중,3762.00,130865,자가,203505.44798100000  ,453273.96070400000  ,3050000-210-2007-00214,영업
33,수도학원,서울특별시 동대문구 신설동 131-50번지 (왕산로 137) ,"서울특별시 동대문구 보문로 6 (신설동,(왕산로 137))",20070405,운영중,2862.00,130110,자가,202078.60775600000  ,452954.58756700000  ,3050000-210-2007-00058,영업
34,우성빌딩(비타에듀학원),서울특별시 동대문구 신설동 76-34번지 (한빛길 16) ,"서울특별시 동대문구 한빛로 12 (신설동,(한빛길 16))",20070405,운영중,7368.00,130810,자가,202198.57584300000  ,453023.59914500000  ,3050000-210-2007-00060,영업
35,동양빌딩(주-IT뱅크멀티캠퍼스학원),서울특별시 동대문구 신설동 98-27번지 ,,20150421,운영중,,130811,,202211.304378       ,452650.402462       ,3050000-210-2015-00017,영업
36,청담어학원,"서울특별시 양천구 목동 408-121번지 서원빌딩 지상4,5층 ","서울특별시 양천구 오목로 282, 지상4,5층 (목동, 서원빌딩)",20030929,운영중,4009.06,158806,자가,188381.11391700000  ,447307.41684000000  ,3140000-210-2003-00022,영업
37,목동종로입시학원,서울특별시 양천구 목동 408-116번지 ,서울특별시 양천구 오목로 284 (목동),20011207,운영중,2257.76,158806,임대,188415.65775700000  ,447304.13190600000  ,3140000-210-2001-00012,영업
