name,type,detail_type,stable,aprove_day,address,road_address,sitearea,lat,lng
현이커피숍,휴게음식점,다방,01,1994-07-26,서울특별시 종로구 김상옥로 49-2 (효제동),서울특별시 종로구 김상옥로 49-2,,,
명,휴게음식점,다방,01,1986-08-19,,,,,
제일은행본점구내,휴게음식점,다방,01,1987-12-02,서울특별시 종로구 종로 47 (공평동),서울특별시 종로구 종로 47,,37.5711250081852,126.982438945074
동아,휴게음식점,다방,01,1985-02-06,,,,,
대신,휴게음식점,다방,01,1982-02-10,서울특별시 종로구 사직로 5 (행촌동),서울특별시 종로구 사직로 5,,37.5727329912624,126.960931227106
지구캣,휴게음식점,커피숍,01,2024-07-09,"서울특별시 종로구 동숭길 47, 유센터(U-center) 지상 2층 (동숭동)",서울특별시 종로구 동숭길 47,118.32,37.5803448532682,127.004257867009
동병상련,휴게음식점,커피숍,01,2010-03-16,"서울특별시 종로구 율곡로 154, 용문상담심리대학원대학교 1층 (원남동)",서울특별시 종로구 율곡로 154,88.00,37.5760847789287,126.995919201128
나단스튜디오(NPS EB),휴게음식점,커피숍,01,2024-07-29,"서울특별시 종로구 수표로 96, 국일관드림펠리스 지상 11층 (관수동)",서울특별시 종로구 수표로 96,20.00,37.5697050231621,126.99002424417
익선네컷,휴게음식점,커피숍,01,2024-06-27,"서울특별시 종로구 수표로28길 43, 지상 1층 (익선동)",서울특별시 종로구 수표로28길 43,3.30,37.5732930199786,126.990682478477
텐퍼센트커피 종로5가역점,휴게음식점,커피숍,01,2024-06-05,"서울특별시 종로구 대학로1길 6, 지상1층 우측호 (효제동)",서울특별시 종로구 대학로1길 6,57.00,37.5714941802021,127.00157118319
꼬또로몽,휴게음식점,커피숍,01,2025-05-12,"서울특별시 송파구 백제고분로33길 15, 2층 (석촌동)",서울특별시 송파구 백제고분로33길 15,98.70,37.5041607211421,127.098633633344
빽다방 종로5가역점,휴게음식점,커피숍,01,2024-06-24,"서울특별시 종로구 종로 213, 지상 1층 102호 (종로5가)",서울특별시 종로구 종로 213,22.80,37.5712057741617,127.001368214552
클래식 로스터리(Classic Roastery),휴게음식점,커피숍,01,2022-10-31,"서울특별시 종로구 새문안로3길 23, 경희궁의 아침 4단지 지하 2층 B133호 (내수동)",서울특별시 종로구 새문안로3길 23,13.08,37.5726308227784,126.972440824541
메가엠지씨커피 종로케이트윈타워점,휴게음식점,커피숍,01,2024-07-26,"서울특별시 종로구 종로1길 50, 더케이트윈타워 B동 지하 1층 19-2호 (중학동)",서울특별시 종로구 종로1길 50,57.93,37.5747244659804,126.979022440109
지우헌,휴게음식점,커피숍,01,2022-03-21,"서울특별시 종로구 북촌로11라길 13, 지하1층 (가회동)",서울특별시 종로구 북촌로11라길 13,70.39,37.5833833879584,126.982999426985
북트리(Book Tree),휴게음식점,커피숍,01,2022-02-16,"서울특별시 종로구 평창11길 3-7, B101호 (평창동)",서울특별시 종로구 평창11길 3-7,123.23,37.6057813097462,126.966206667426
무에(mueh),휴게음식점,커피숍,01,2022-02-08,"서울특별시 종로구 북촌로8길 28, 1층 (계동)",서울특별시 종로구 북촌로8길 28,26.44,37.5808628769306,126.986646779198
미스터힐링,휴게음식점,커피숍,01,2022-02-08,"서울특별시 종로구 대학로8가길 66, 동숭컴퓨터학원 2층 (동숭동)",서울특별시 종로구 대학로8가길 66,98.86,37.582967317783,127.003235798076
(주)락고재 북촌빈관 더리빙룸,휴게음식점,전통찻집,01,2022-03-14,"서울특별시 종로구 북촌로11가길 10, 지하 2층 (가회동)",서울특별시 종로구 북촌로11가길 10,39.00,37.5822935334166,126.984203931963
보성 전통찻집,휴게음식점,커피숍,01,2015-06-25,"서울특별시 종로구 종로7길 47, 2층 (공평동)",서울특별시 종로구 종로7길 47,,37.571703677965,126.982782930977
식품명인체험홍보관,휴게음식점,커피숍,01,2016-10-17,"서울특별시 종로구 북촌로 18, 1층 (재동)",서울특별시 종로구 북촌로 18,148.50,37.5784106376538,126.985838684851
우주라이크커피 독립문역점,휴게음식점,커피숍,01,2019-10-11,"서울특별시 종로구 통일로 230, 1층 104호 (무악동, 경희궁 롯데캐슬)",서울특별시 종로구 통일로 230,25.98,37.574370395598,126.958628749004
카페 엠에이치(cafe MH),휴게음식점,커피숍,01,2019-11-15,"서울특별시 종로구 삼청로9길 45, 지하1층 (삼청동)",서울특별시 종로구 삼청로9길 45,56.00,37.5878711544501,126.980721729694
컴포즈 커피,휴게음식점,커피숍,01,2019-11-18,"서울특별시 종로구 율곡로 75, 현대빌딩 지하1층 (계동)",서울특별시 종로구 율곡로 75,16.44,37.5780170152303,126.987637853136
휴다인,휴게음식점,커피숍,01,2019-10-25,서울특별시 종로구 우정국로 65-6 (견지동),서울특별시 종로구 우정국로 65-6,46.80,37.5749607184937,126.982402951488
우아한 갑순이,휴게음식점,전통찻집,01,2019-11-14,"서울특별시 종로구 인사동5길 14, 지하1층 (관훈동)",서울특별시 종로구 인사동5길 14,35.82,37.5727599914497,126.985356392794
헤이,휴게음식점,커피숍,01,2025-04-14,"서울특별시 마포구 와우산로29마길 10, 1층 (서교동)",서울특별시 마포구 와우산로29마길 10,56.20,37.5556692399874,126.926582871502
카페온 바이 온라이프,휴게음식점,커피숍,01,2019-11-12,"서울특별시 종로구 대학로3길 29, 1,2층 (연지동)",서울특별시 종로구 대학로3길 29,97.68,37.5744586423861,127.000669816963
아름다운차박물관,휴게음식점,전통찻집,01,2005-01-07,서울특별시 종로구 인사동길 19-11 (인사동),서울특별시 종로구 인사동길 19-11,52.00,37.5723710958927,126.985881712125
썬,휴게음식점,다방,01,2005-01-20,서울특별시 종로구 돈화문로10가길 16 (봉익동),서울특별시 종로구 돈화문로10가길 16,,37.5732218907252,126.992658850518
