stdr_yyqu_cd,adstrd_cd,adstrd_cd_nm,tot_flpop_co,ml_flpop_co,fml_flpop_co,agrde_10_flpop_co,agrde_20_flpop_co,agrde_30_flpop_co,agrde_40_flpop_co,agrde_50_flpop_co,agrde_60_above_flpop_co,tmzon_00_06_flpop_co,tmzon_06_11_flpop_co,tmzon_11_14_flpop_co,tmzon_14_17_flpop_co,tmzon_17_21_flpop_co,tmzon_21_24_flpop_co,mon_flpop_co,tues_flpop_co,wed_flpop_co,thur_flpop_co,fri_flpop_co,sat_flpop_co,sun_flpop_co
20214,11380530,불광2동,5956354.0,2753010.0,3203343.0,824916.0,812668.0,835670.0,845212.0,942702.0,1695185.0,1777080.0,1244091.0,628987.0,597131.0,896627.0,812439.0,850684.0,837399.0,834297.0,832084.0,831521.0,869406.0,900961.0
20214,11380551,갈현1동,8038360.0,3671638.0,4366721.0,1093660.0,1312088.0,1145722.0,1142667.0,1288918.0,2055303.0,1970461.0,1621242.0,940072.0,967974.0,1449032.0,1089579.0,1142015.0,1137193.0,1136135.0,1134220.0,1144898.0,1172103.0,1171798.0
20214,11380552,갈현2동,6493137.0,2914218.0,3578918.0,1248533.0,861372.0,863692.0,1062498.0,930086.0,1526955.0,1854198.0,1363205.0,705412.0,690024.0,1012843.0,867457.0,927983.0,919336.0,916501.0,917274.0,913924.0,934843.0,963277.0
20214,11380560,구산동,5467438.0,2357722.0,3109716.0,1105170.0,639798.0,712632.0,825523.0,814766.0,1369549.0,1581603.0,1151100.0,599682.0,573802.0,828634.0,732617.0,785075.0,776444.0,773551.0,772263.0,770236.0,781448.0,808420.0
20214,11380570,대조동,9383432.0,4179428.0,5204004.0,1231298.0,1385176.0,1572400.0,1415645.0,1448855.0,2330059.0,2652531.0,1903731.0,1019907.0,1027591.0,1509440.0,1270234.0,1330704.0,1318914.0,1318811.0,1321058.0,1329450.0,1382449.0,1382046.0
20214,11380580,응암1동,6674109.0,2964942.0,3709168.0,1138867.0,813098.0,1191898.0,1155872.0,918137.0,1456237.0,2036077.0,1359206.0,679529.0,668468.0,1007980.0,922851.0,958770.0,944643.0,946510.0,939856.0,934236.0,969666.0,980429.0
20214,11380590,응암2동,3795078.0,1720342.0,2074736.0,770039.0,330324.0,684834.0,732861.0,481390.0,795631.0,1112967.0,775348.0,393513.0,398081.0,597052.0,518117.0,535822.0,524377.0,523999.0,526117.0,526365.0,566592.0,591807.0
20214,11380600,응암3동,7645833.0,3482739.0,4163093.0,1000724.0,961088.0,1224418.0,1297071.0,1145901.0,2016634.0,2070989.0,1545783.0,850857.0,846660.0,1271985.0,1059558.0,1092966.0,1085772.0,1082454.0,1080388.0,1086550.0,1105451.0,1112252.0
20214,11380625,역촌동,12303213.0,5437536.0,6865677.0,2088070.0,1580665.0,1858884.0,1985396.0,1837827.0,2952371.0,3484565.0,2506972.0,1323466.0,1329522.0,1988768.0,1669918.0,1752457.0,1721504.0,1713155.0,1716507.0,1726739.0,1818006.0,1854844.0
20214,11380631,신사1동,6688500.0,3061417.0,3627083.0,1157669.0,832253.0,1004044.0,1054638.0,992129.0,1647768.0,1928366.0,1379359.0,699970.0,683308.0,1067372.0,930124.0,952130.0,933271.0,929425.0,927785.0,933131.0,990553.0,1022206.0
20214,11380632,신사2동,3705315.0,1750009.0,1955306.0,633055.0,439063.0,531964.0,565688.0,552915.0,982629.0,1041934.0,774403.0,402024.0,401739.0,593941.0,491274.0,525158.0,516496.0,514935.0,514659.0,513599.0,546612.0,573856.0
20214,11380640,증산동,3295858.0,1483295.0,1812564.0,499351.0,428050.0,482983.0,493699.0,506975.0,884800.0,951249.0,694675.0,350970.0,342355.0,509935.0,446673.0,471583.0,466831.0,464964.0,463444.0,464217.0,477457.0,487362.0
