nm,type,apv_date,addr,floor,sitearea,lat,lng,flpop_type,trdar_cd,adstrd_cd
빈스빈스,커피숍,2009-03-25,서울 중구 장충단로 275,5,95.80,37.5688849422849,127.008775114213,TR,3130038,11140590
이디야커피,커피숍,2008-03-19,서울 종로구 홍지문2길 6,1,,37.6012372541669,126.956320032453,AL,3110531,11110550
소풍,커피숍,2009-04-24,서울 종로구 명륜길 42,1,,37.5890298549698,126.994935142404,TR,3110020,11110650
다동커피집,커피숍,2007-08-27,서울 중구 다동길 24-8,,63.00,37.5674746001417,126.98055652106,TR,3120026,11140550
파나마,커피숍,2009-05-21,서울 중구 퇴계로73가길 26,1,6.60,37.5666053393832,127.013485032136,TR,3120039,11140615
동네커피,커피숍,2009-06-11,서울 종로구 창덕궁길 91,1,,37.581641509035,126.989226764342,TR,3110018,11110600
영화에 빠진 커피,커피숍,2009-06-15,서울 서초구 서초대로77길 3,13,60.00,37.4980609129976,127.026504807476,TR,3120189,11650531
두루,커피숍,2008-02-04,서울 종로구 북촌로11길 1,,,37.5813804572211,126.984819888216,TR,3120007,11110600
니들 북,커피숍,2009-07-13,서울 종로구 대학로8가길 30,,,37.5822940219293,127.002560560723,TR,3120012,11110640
헤이리커피공장103이촌점,커피숍,2008-05-23,서울 용산구 이촌로18길 16,2,98.18,37.526260596529,126.954935303103,TR,3110059,11170640
퓨얼리데카던트,커피숍,2009-06-04,서울 동작구 노량진동 44-1,,18.60,37.5138022397274,126.939757606506,TR,3120153,11590510
이디야올림픽공원점,커피숍,2008-04-23,서울 송파구 올림픽로 354,1,42.93,37.5161703232576,127.109737321138,TR,3120229,11710562
카페베네 종로5가점,커피숍,2009-08-20,서울 종로구 종로 253,1,,37.5713042886645,127.005998667099,TR,3120015,11110630
이디야 서대문점,커피숍,2006-07-04,서울 서대문구 통일로 141,1,19.80,37.5669236364415,126.965231207271,TR,3120001,11410520
남산커피집,커피숍,2008-08-28,서울 중구 퇴계로20길 57,2,39.00,37.5577800134981,126.986744383515,TR,3110041,11140550
보티,커피숍,2009-08-26,서울 종로구 율곡로 65,1,,37.5771651703762,126.986409819688,TR,3120007,11110600
커피데이,커피숍,2009-09-30,서울 종로구 종로 115,4,,37.5706083074284,126.990464570479,TR,3120009,11110615
아산엠 매점,커피숍,2009-05-22,서울 종로구 돈화문로 26,4,,37.5710194900321,126.992526739499,TR,3120009,11110615
까사안띠구아,커피숍,2009-08-17,서울 용산구 이촌로 274,3,40.00,37.5186955798212,126.977107892418,TR,3110078,11170630
커피홀릭,커피숍,2009-10-30,서울 종로구 삼일대로30길 23,1,,37.574475499893,126.988775780571,TR,3120009,11110615
카페깔리아리,커피숍,2009-11-16,서울 영등포구 영중로 15,,14.20,37.5172332566615,126.903715993779,TR,3120145,11560535
파반커피,커피숍,2009-09-23,서울 광진구 동일로22길 115,1,,37.5407636585904,127.070462165241,TR,3120053,11215710
카페나루,커피숍,2008-05-13,서울 광진구 광장로1길 18,,,37.5476064744431,127.102251249391,TR,3110178,11215810
카페라비,커피숍,2001-09-04,서울 중구 장충단로 275,-1,27.86,37.5688849422849,127.008775114213,TR,3130038,11140590
투미,커피숍,2005-05-24,서울 중구 명동8길 6,2,76.03,37.5634442970634,126.984421719939,TR,3120028,11140550
호텔디아망,커피숍,2009-12-28,서울 강서구 남부순환로 190,-1,91.98,37.5484382779299,126.819312984161,AL,3110644,11500611
빈스커피,커피숍,2009-11-27,서울 마포구 월드컵북로7길 8,1,39.60,37.5583902449843,126.917305395768,TR,3110557,11440660
투썸플레이스,커피숍,2010-03-09,서울 마포구 백범로 35,,71.28,37.5514649610226,126.942979960696,AL,3110578,11440600
야노아,커피숍,2009-06-16,서울 노원구 노원로 440,,9.30,37.6559120545459,127.067454494799,TR,3110426,11350640
An.s coffee,커피숍,2009-04-28,서울 종로구 비봉2길 58,1,,37.6138709798077,126.959752858762,AD,,11110560
슐레스,커피숍,2007-08-09,서울 서초구 남부순환로 2634-27,1,66.00,37.484491067428,127.039008869853,TR,3110939,11650651
알엔비스커피(RNBS COFFEE),커피숍,2010-05-17,서울 성북구 월계로40길 7,1,40.00,37.6229729783825,127.048309344122,AD,,11290780
아임빈,커피숍,2010-05-28,서울 성북구 개운사길 57-3,1,65.48,37.5888756607457,127.029017827264,TR,3110312,11290600
바오밥나무 여성미래센터점,커피숍,2010-06-24,서울 영등포구 국회대로55길 6,1,18.42,37.5258801000412,126.9084915806,TR,3120146,11560535
명동커피,커피숍,2010-05-04,서울 중구 명동길 19,4,16.50,37.5638355450994,126.98336051929,TR,3120028,11140550
이디야커피명동중앙점,커피숍,2010-04-13,서울 중구 명동10길 18,1,21.60,37.5629497616194,126.985291873748,TR,3120028,11140550
지유명차 종로점,커피숍,2010-07-20,서울 종로구 돈화문로 79,-1,,37.5755619753242,126.990436090733,TR,3120009,11110615
엔오투,커피숍,2010-07-29,서울 중랑구 용마산로139나길 93,1,16.52,37.6193386213239,127.104059785447,TR,3110276,11260680
세븐일레븐 종로효제점,커피숍,2005-09-26,서울 종로구 김상옥로 55,1,,37.5737183240347,127.003854607338,TR,3120013,11110630
카페 더 단골,커피숍,2010-08-12,서울 강남구 밤고개로1길 10,,22.16,37.4880244867416,127.101844450006,TR,3120224,11680750
올댓커피(All That Coffee),커피숍,2007-04-03,서울 용산구 청파로47길 4,1,95.41,37.5450713833998,126.970172996044,TR,3110069,11170555
코피루왁,커피숍,2010-05-14,서울 중구 퇴계로 299,1,9.80,37.5641322423883,127.004665094613,TR,3120037,11140590
소호앤노호,커피숍,2010-08-30,서울 강남구 압구정로 165,-1,43.00,37.5273661232786,127.027468526838,TR,3120188,11680510
더디퍼커피(The dipper coffee),커피숍,2010-09-10,서울 영등포구 여의동로 143,1,50.00,37.5175310485749,126.932597643229,AD,,11560540
카페에츠(cafe ats),커피숍,2010-08-27,서울 종로구 지봉로 29,3,,37.572523759891,127.015280872411,TR,3120017,11110670
cafe ICAM,커피숍,2007-07-09,서울 종로구 삼청로 65-4,-1,,37.581677756615,126.980900392008,TR,3120005,11110540
이디야성수아카데미점,커피숍,2010-10-06,서울 성동구 성수이로 118,1,92.00,37.5451736913181,127.057857254458,TR,3120052,11200690
북카페,커피숍,2010-10-08,서울 송파구 올림픽로 326,-1,16.50,37.514477182474,127.105859984389,TR,3001495,11710710
카페 빈,커피숍,2010-10-12,서울 종로구 평창31길 8,1,,37.6117780444468,126.975386853272,TR,3110016,11110560
이디야커피,커피숍,2010-10-19,서울 동대문구 왕산로 225,1,49.50,37.5821227010138,127.047209103701,TR,3120063,11230705
비전케어,커피숍,2010-10-20,서울 강남구 학동로55길 12,1,4.50,37.5182324347304,127.042017470419,TR,3110973,11680565
커피락,커피숍,2010-10-07,서울 성북구 보문로 102,1,13.20,37.584282982641,127.020161796134,TR,3110305,11290610
요거프레소 을지로3가점,커피숍,2010-10-04,서울 중구 마른내로 19,1,26.40,37.5649573274089,126.99016296635,TR,3120031,11140605
밀라노,커피숍,2009-08-31,서울 서대문구 충정로6길 59,1,24.83,37.5627833731124,126.968082097248,TR,3110539,11410565
카페(cafe)1895,커피숍,2010-11-17,서울 용산구 한강로2가 222-5,1,33.00,37.5273679928039,126.966508947948,TR,3120041,11170625
이디야 커피 노량진 CTS점,커피숍,2010-11-22,서울 동작구 노량진로 110,1,41.25,37.5131853341731,126.938038724901,TR,3120153,11590520
커피지인,커피숍,2010-12-14,서울 성동구 성수동2가 333-16,6,35.56,37.5397099684372,127.052998011355,AL,3110136,11200670
오즈,커피숍,2010-08-16,서울 중구 명동길 62,6,33.00,37.5638546064893,126.985817105618,TR,3001492,11140550
미니스톱 종로육의전점,커피숍,2010-12-22,서울 종로구 수표로 105,1,,37.5705989139519,126.989152966372,TR,3120009,11110615
김종영미술관 카페,커피숍,2010-12-28,서울 종로구 평창32길 30,1,,37.6130366993851,126.977511093535,TR,3110016,11110560
커피스푼,커피숍,2011-01-25,서울 광진구 뚝섬로56길 55,1,,37.5289669930064,127.082882834314,TR,3110163,11215830
커피산책,커피숍,2011-01-27,서울 은평구 연서로48길 11,1,31.21,37.6377914977696,126.93681895439,AL,3110492,11380690
모모웨이,커피숍,2010-11-12,서울 강남구 언주로 314,1,59.40,37.4958917878081,127.046476269108,TR,3120206,11680650
커피마마,커피숍,2011-02-09,서울 중랑구 양원역로 25-2,1,44.90,37.6029055765811,127.107578180982,AL,3110278,11260655
엑스퍼트마트(expat mart),커피숍,2011-02-15,서울 용산구 한남대로20길 41,-1,6.60,37.5349890927156,127.009141003657,TR,3110098,11170685
드립하우스,커피숍,2011-02-28,서울 구로구 개봉로3길 36,,30.00,37.4864184195155,126.854276526642,TR,3120124,11530760
어컵오브(a cup of),커피숍,2005-04-15,서울 중구 을지로 54-1,,6.48,37.5659110563238,126.983839187466,TR,3120028,11140550
힐,커피숍,2009-07-15,서울 중구 소공로3길 42,1,26.40,37.5568402750789,126.981994009862,TR,3110040,11140540
셰이드트리,커피숍,2011-02-28,서울 영등포구 당산로31길 21,1,25.00,37.5267789750023,126.894189154808,TR,3110763,11560550
갓구운커피 7,커피숍,2011-02-28,서울 종로구 사직로8길 4,-1,,37.5746716527447,126.968429762772,AL,3110012,11110530
in the same place (인더세임플레이스),커피숍,2010-12-02,서울 서초구 남부순환로317길 18-3,,30.00,37.4805467339115,127.010653784854,TR,3120171,11650530
그라나다카페,커피숍,2009-07-22,서울 강서구 허준로5길 37,1,95.00,37.5685363187372,126.851117193596,AD,,11500604
커피데이,커피숍,2011-03-04,서울 중구 다산로 293,-1,4.86,37.5691596607746,127.014991766546,TR,3130050,11140615
이디야 마포오벨리스크점,커피숍,2004-11-29,서울 마포구 마포대로 33,1,35.86,37.5399847863145,126.945447452979,TR,3120106,11440590
오리엔탈하우스,커피숍,2011-02-28,서울 성북구 동소문로 75,,30.00,37.5923524797629,127.013688959927,TR,3120072,11290575
빈트리이백이십오,커피숍,2011-03-23,서울 서초구 서초대로42길 44,1,95.00,37.4900384386795,127.009199523431,TR,3120169,11650530
디데이 라운지 (D.day 라운지),커피숍,2011-03-24,서울 중구 마장로 3,6,7.17,37.5687984821779,127.010543979771,TR,3130327,11140615
커피마리오,커피숍,2011-04-11,서울 영등포구 대방천로 173,1,33.00,37.4993328150644,126.910232189363,TR,3110804,11560680
카페도드리,커피숍,2011-04-12,서울 종로구 삼청로9길 5,2,,37.5864850864507,126.98140356034,TR,3120005,11110540
테라로사,커피숍,2010-09-13,서울 중구 소공로 106,,23.09,37.5644841324893,126.980184460247,TR,3120025,11140520
피터팬과돈키호테/JH산업개발,커피숍,2006-10-18,서울 종로구 삼청로 90-1,-1,,37.5834397336,126.982010021997,TR,3120005,11110540
실로암,커피숍,2011-05-11,서울 영등포구 여의대방로 99,1,86.62,37.4976489986604,126.917500887893,TR,3110812,11560680
아자부(동부이촌점),커피숍,2011-05-12,서울 용산구 이촌로 248,1,49.00,37.5193865878083,126.975025954742,AL,3110078,11170630
파스쿠찌 신사역점,커피숍,2011-05-13,서울 서초구 강남대로 589,2,120.05,37.5144406772564,127.019386390307,TR,3120178,11650540
웰런커피,커피숍,2011-05-19,서울 영등포구 선유로 198,1,32.60,37.5308420936767,126.89414800369,AD,,11560620
오후,커피숍,2011-05-24,서울 종로구 돈화문로5길 36,1,,37.5707349497652,126.990009844047,TR,3120009,11110615
맘스키친(Mom.s kitchen),커피숍,2011-06-08,서울 성북구 길음로 33,-1,35.63,37.6050832927232,127.022078590713,TR,3110307,11290660
위지안,커피숍,2011-06-08,서울 마포구 고산길 6,2,22.66,37.5532178218498,126.937745758946,TR,3110573,11440600
카페라또,커피숍,2011-06-08,서울 은평구 진관2로 90,1,31.04,37.6338060816554,126.925688437384,AD,,11380690
구스토(GUSTO),커피숍,2006-12-27,서울 영등포구 여의대로 14,1,95.00,37.5216201830377,126.91913977365,TR,3120149,11560540
재재 종로점,커피숍,2011-06-14,서울 종로구 종로5길 46,1,,37.5722577694733,126.980344048683,TR,3120006,11110615
리얼커피,커피숍,2011-06-17,서울 마포구 동교로 32-1,1,56.56,37.5522436703351,126.906137592367,AL,3110544,11440680
파스쿠찌 두타점,커피숍,2011-03-17,서울 중구 장충단로 275,-1,35.90,37.5688849422849,127.008775114213,TR,3130038,11140590
카페구로,커피숍,2011-07-01,서울 성북구 성북로31가길 21,1,59.50,37.595397457251,126.988732893717,AL,3110281,11290525
리시오,커피숍,2011-07-01,서울 송파구 올림픽로51길 11,1,68.62,37.5316392622815,127.119401090492,TR,3120242,11710520
카페 라이네케,커피숍,2011-07-04,서울 송파구 오금로46길 37,2,90.00,37.4944596713622,127.13389180677,TR,3120240,11710632
카페네스카페신천TS점,커피숍,2003-05-16,서울 송파구 올림픽로 299,,42.90,37.5154508721805,127.10355012419,TR,3120227,11710710
사포리토,커피숍,2003-11-26,서울 송파구 오금로 62,,4.29,37.5163817940367,127.105478877949,TR,3120227,11710710
할리스커피(회기역점),커피숍,2011-07-11,서울 동대문구 휘경동 317-101,2,83.60,37.5911026664027,127.060013877823,TR,3110215,11230720
