nm,type,addr,lat,lng
갑을아파트형공장,지식산업센터,서울 금천구 디지털로9길 32,37.4795130993704,126.887511773421
대륭포스트타워6차,지식산업센터,서울 금천구 벚꽃로 298,37.4814401689835,126.883871693415
엘리시아,지식산업센터,서울 금천구 디지털로 173,37.4779696398014,126.886068548417
대륭테크노타운 1차,지식산업센터,서울 금천구 가산디지털2로 18,37.4704887760962,126.883978621361
대륭테크노타운 2차,지식산업센터,서울 금천구 가산디지털1로 33-33,37.4684624277845,126.884647231561
대륭테크노타운 3차,지식산업센터,서울 금천구 가산디지털2로 115,37.4783646710918,126.879380178011
에스케이트윈테크타워,지식산업센터,서울 금천구 가산디지털1로 119,37.4760631854134,126.882925390269
벽산/경인디지털밸리Ⅱ,지식산업센터,서울 금천구 가산디지털2로 184,37.4842493589397,126.878084255358
고려테크-온,지식산업센터,서울 금천구 범안로 1138,37.4657958806101,126.888393904496
대륭테크노타운 8차,지식산업센터,서울 금천구 가마산로 96,37.4852607302207,126.877464812011
월드메르디앙벤처센터Ⅱ,지식산업센터,서울 금천구 가산디지털2로 123,37.4787267314014,126.878710182672
롯데IT캐슬,지식산업센터,서울 금천구 가산디지털2로 98,37.4772339836706,126.881057813165
호서대벤처타워,지식산업센터,서울 금천구 가산디지털1로 70,37.4723085472631,126.886110038559
우림라이온스밸리2차,지식산업센터,서울 금천구 범안로 1143-2,37.4665245731673,126.888824065512
제이플라츠,지식산업센터,서울 금천구 가산디지털1로 186,37.4819130872905,126.881581110867
에이스테크노타워9차,지식산업센터,서울 금천구 디지털로 130,37.4754518857631,126.881874389775
에이스테크노타워10차,지식산업센터,서울 금천구 가산디지털1로 196,37.4829648973428,126.881284806415
코오롱디지털타워애스톤,지식산업센터,서울 금천구 가산디지털1로 212,37.4844343587974,126.880576835889
INNOPLEX 1차,지식산업센터,서울 금천구 가산디지털1로 151,37.4788287293681,126.881107405152
대륭테크노타운12차,지식산업센터,서울 금천구 가산디지털2로 14,37.4696780474214,126.88425457098
대륭테크노타운13차,지식산업센터,서울 금천구 가산디지털1로 24,37.4684160473591,126.887662358171
뉴티캐슬,지식산업센터,서울 금천구 가산디지털2로 108,37.4778955587368,126.880664798648
롯데정보통신,지식산업센터,서울 금천구 가산디지털2로 179,37.4835784864787,126.876367551986
승일벤쳐타워,지식산업센터,서울 금천구 가산디지털2로 136,37.4801215738224,126.87993620757
㈜동광인터내셔날,지식산업센터,서울 금천구 가산디지털2로 144,37.4810281626186,126.879311225819
롯데IT캐슬2차,지식산업센터,서울 금천구 가산디지털1로 137,37.4776586934814,126.881930383681
벽산디지털밸리6차,지식산업센터,서울 금천구 가산디지털1로 219,37.4844978892408,126.878992112173
에이스하이엔드3차,지식산업센터,서울 금천구 가산디지털2로 114,37.478622634321,126.880983820832
이앤씨드림타워8차,지식산업센터,서울 금천구 가산디지털1로 45,37.4699066384201,126.885554453029
에이스하이엔드5차,지식산업센터,서울 금천구 가산디지털1로 226,37.4854205146478,126.879957125736
LG아파트형공장,지식산업센터,서울 금천구 가산디지털1로 189,37.4821521214809,126.879704798107
디지털엠파이어,지식산업센터,서울 금천구 범안로 1130,37.4655215598001,126.887672228018
한국전자협동APT공장,지식산업센터,서울 금천구 가산디지털2로 114,37.478622634321,126.880983820832
백상스타타워2차,지식산업센터,서울 금천구 가산디지털2로 165,37.4824313837703,126.877463892587
한라시그마밸리,지식산업센터,서울 금천구 가산디지털2로 53,37.4729556284612,126.881145309987
파트너스타워,지식산업센터,서울 금천구 가산디지털1로 83,37.4732207718169,126.884298623646
INNOPLEX 2차,지식산업센터,서울 금천구 가산디지털1로 149,37.4787416385486,126.881862654269
BYC하이씨티,지식산업센터,서울 금천구 가산디지털1로 131,37.4770829103065,126.881982164294
에이스하이엔드8차,지식산업센터,서울 금천구 가산디지털1로 84,37.4734388623195,126.885548728314
IT프리미어타워,지식산업센터,서울 금천구 가산디지털1로 88,37.4738866647292,126.885456361765
STX V-TOWER,지식산업센터,서울 금천구 가산디지털1로 128,37.4772365189989,126.883695161966
가산비즈니스센터,지식산업센터,서울 금천구 가산디지털1로 165,37.4802275551346,126.881027516845
에이스하이엔드7차,지식산업센터,서울 금천구 가산디지털2로 67,37.4742216639032,126.881082370861
