listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd
912184,서울특별시 강남구 논현동,37.5075323,127.0247736392,사무실,월세,0,0,50000000,2800000,300000,166.57,1층,T,3120187,11680521
906928,서울특별시 강남구 논현동,37.5087203675834,127.030184868439,미용/네일/피부관리,월세,0,0,10000000,1150000,0,33.88,반지하층,T,3110955,11680521
906934,서울특별시 강남구 논현동,37.5087203675834,127.030184868439,사무실,월세,0,0,2850000,950000,0,26.55,2층,T,3110955,11680521
906933,서울특별시 강남구 논현동,37.5087203675834,127.030184868439,사무실,월세,0,0,3750000,1250000,0,31.73,지하2층,T,3110955,11680521
906931,서울특별시 강남구 논현동,37.5087203675834,127.030184868439,사무실,월세,0,0,3450000,1150000,0,33.88,반지하층,T,3110955,11680521
906930,서울특별시 강남구 논현동,37.5087203675834,127.030184868439,사무실,월세,0,0,3300000,1100000,0,31.73,반지하층,T,3110955,11680521
906849,서울특별시 강남구 논현동,37.5087203675834,127.030184868439,사무실,월세,0,0,10000000,1150000,0,33.88,반지하층,T,3110955,11680521
911500,서울특별시 강남구 논현동,37.5094062718,127.0253307292,퓨전/쌀국수,월세,0,15000000,20000000,1350000,200000,40.0,1층,T,3120185,11680521
911701,서울특별시 강남구 논현동,37.5085717379361,127.034649531626,기타,월세,0,0,30000000,2500000,350000,55.6,4층,T,3120194,11680531
911683,서울특별시 강남구 논현동,37.5068860399449,127.029718157832,기타,월세,0,0,300000000,35000000,0,889.45,1층,T,3110955,11680521
911022,서울특별시 강남구 역삼동,37.5059517596115,127.032884548121,사무실,월세,0,0,20000000,1800000,200000,68.4,5층,T,3120194,11680640
910145,서울특별시 강남구 논현동,37.5111536596,127.0278241858,기타,월세,0,0,80000000,6000000,500000,119.36,1층,T,3120191,11680521
910316,서울특별시 강남구 논현동,37.5068295699,127.0245155391,기타주점,월세,0,0,75000000,5900000,0,111.78,2층,T,3120187,11680521
910296,서울특별시 강남구 논현동,37.510265104,127.0351983086,기타,월세,0,0,30000000,2300000,300000,149.8,3층,T,3110961,11680531
909616,서울특별시 강남구 논현동,37.5129037929207,127.039986889621,사무실,월세,0,0,400000000,55000000,0,1468.46,1층,T,3110970,11680531
909689,서울특별시 강남구 신사동,37.5187516673,127.0244651424,일식/해산물,월세,0,35000000,30000000,2900000,500000,181.82,지하1층,T,3120186,11680510
909677,서울특별시 강남구 신사동,37.5188458245025,127.022171139001,분식,월세,0,70000000,50000000,2000000,0,33.06,1층,T,3120186,11680510
909570,서울특별시 강남구 논현동,37.5184332107,127.0301073359,기타,월세,0,0,20000000,3200000,200000,131.04,3층,T,3110957,11680531
841867,서울특별시 강남구 논현동,37.512856634575,127.034376091972,퓨전/쌀국수,월세,0,0,20000000,1800000,0,26.4,1층,T,3120196,11680531
674504,서울특별시 강남구 논현동,37.5182002058,127.0382245237,사무실,월세,0,0,50000000,3600000,0,92.56,2층,T,3110966,11680531
674482,서울특별시 강남구 논현동,37.5130591538,127.031901353,사무실,월세,0,0,80000000,5000000,1500000,208.26,4층,T,3120191,11680531
677764,서울특별시 강남구 논현동,37.5081633231,127.0231994688,사무실,월세,0,0,100000000,7000000,1000000,165.3,4층,T,3120185,11680521
